Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population
84531,0,1.8,0,998
84536,0,0.3,6.2,1821
85003,1.2,33.2,78.9,8694
85004,5.6,31.2,77.4,5944
85006,0.6,65.9,49,27671
85007,3.5,53.2,57.4,14810
85008,0.9,57,52.5,60700
85009,0.3,80.9,79.1,47810
85012,2,13,88.7,6776
85013,3.3,25,71.8,21025
85014,3.3,31.6,64.9,27410
85015,6.3,46,67,39395
85016,3,31.4,74.1,35321
85017,5,66.2,69.5,41656
85018,4,21.1,78.7,37848
85019,3.7,67.3,76.5,25994
85020,1.8,28.9,86.9,33296
85021,4.4,34.4,73.6,41310
85022,4.1,23.3,82.3,50242
85023,4,22.9,78.9,33612
85024,4.8,12.7,87.4,24598
85027,7.8,16.6,79.7,35529
85028,1.8,11.1,92,19563
85029,3.2,31.6,83.3,44745
85031,0.6,82.3,63,31673
85032,4.3,28.5,84.2,71603
85033,0.6,81.3,59,65318
85034,1.6,70.1,45,4480
85035,0.7,83.3,50.1,57410
85037,3,65.6,57.1,52205
85040,1.6,65.3,51.9,32526
85041,2.3,66.5,62.2,63152
85042,2.3,57.1,49.2,44676
85043,2.6,73.2,73.6,38125
85044,5.2,18.8,74.6,40893
85045,8.9,9.5,79.5,7467
85048,6.5,11.3,80.2,34720
85050,7.2,13.4,85.6,30506
85051,4.2,45.3,76.9,43234
85053,2.4,21.7,82.4,29584
85054,4.4,6.8,90.5,7023
85083,10.1,10.2,83.8,19363
85085,11.1,10.1,79.2,21478
85086,2.3,9.4,92,41785
85087,3.6,7.3,91.8,7976
85118,1.3,5.7,96.5,12439
85119,2.2,9.2,94,21825
85120,0.6,14.5,91.2,30621
85121,2.4,4.9,8.7,2131
85122,1.6,45,73,56298
85123,0.3,40.6,84.7,11106
85128,0.3,39.4,71.6,16466
85131,2.1,58.1,72.9,18542
85132,0.8,35.8,83.3,35677
85135,0,87.9,93.5,464
85137,3.5,44.7,89.4,2497
85138,4.4,25.3,71.5,36059
85139,3.4,30.1,72.5,18327
85140,1.2,21.6,87.5,45504
85141,1.4,68.4,75.9,427
85142,2.3,18.8,87.7,60306
85143,2.7,22.4,81.2,36764
85145,0.9,23.2,83,3016
85147,0.2,6.3,7.2,3811
85172,0,66.1,67.7,1636
85173,0.7,66.2,90.3,2947
85192,0.4,67.5,94.4,1675
85193,1.2,54.2,63.8,4408
85194,2.2,31.3,80.9,7188
85201,2.3,37.7,76.2,51817
85202,3.2,29.5,76.6,38780
85203,0.9,31,82.1,37773
85204,1.8,47.2,80.1,66891
85205,1.2,13.7,91,41686
85206,1.4,16.9,88.3,36379
85207,1.2,16.1,90.7,48405
85208,1.2,21.4,91.3,37158
85209,2.5,16.1,87.5,41052
85210,1.7,48.2,76.2,39712
85212,3.6,19,85.8,31494
85213,2,15.8,87.1,35148
85215,2.7,8.1,93.3,16270
85224,7.7,20.7,77.4,44000
85225,5.5,34.5,77.5,70587
85226,9.9,17.3,75,37781
85233,7.2,19.1,81.1,35556
85234,5.2,17.1,85.7,50706
85248,8.4,8.6,82.9,32646
85249,9.9,11.7,80.7,38586
85250,2.1,9.2,91.4,17711
85251,2.1,20,85.1,40621
85253,4.7,5.3,90.1,18509
85254,8.8,5,86.5,45973
85255,5.7,5.6,90.6,40401
85256,0.8,19.1,14,5380
85257,2.7,20.7,84.1,31609
85258,3.9,6.2,91.3,24549
85259,7.8,6.5,86.5,23043
85260,5.3,6.4,89.8,38337
85262,4,2.2,92.2,10815
85263,0,1.4,98.7,2531
85264,2.4,10.8,21.4,1315
85266,3.8,3.2,92.1,12519
85268,2.4,4.5,95.7,24288
85281,11.3,22.6,65.4,62626
85282,3.9,23.4,71.6,52799
