Zip Code,Total population
84531,998
84536,1821
85003,8694
85004,5944
85006,27671
85007,14810
85008,60700
85009,47810
85012,6776
85013,21025
85014,27410
85015,39395
85016,35321
85017,41656
85018,37848
85019,25994
85020,33296
85021,41310
85022,50242
85023,33612
85024,24598
85027,35529
85028,19563
85029,44745
85031,31673
85032,71603
85033,65318
85034,4480
85035,57410
85037,52205
85040,32526
85041,63152
85042,44676
85043,38125
85044,40893
85045,7467
85048,34720
85050,30506
85051,43234
85053,29584
85054,7023
85083,19363
85085,21478
85086,41785
85087,7976
85118,12439
85119,21825
85120,30621
85121,2131
85122,56298
85123,11106
85128,16466
85131,18542
85132,35677
85135,464
85137,2497
85138,36059
85139,18327
85140,45504
85141,427
85142,60306
85143,36764
85145,3016
85147,3811
85172,1636
85173,2947
85192,1675
85193,4408
85194,7188
85201,51817
85202,38780
85203,37773
85204,66891
85205,41686
85206,36379
85207,48405
85208,37158
85209,41052
85210,39712
85212,31494
85213,35148
85215,16270
85224,44000
85225,70587
85226,37781
85233,35556
85234,50706
85248,32646
85249,38586
85250,17711
85251,40621
85253,18509
85254,45973
85255,40401
85256,5380
85257,31609
85258,24549
85259,23043
85260,38337
85262,10815
85263,2531
85264,1315
85266,12519
85268,24288
85281,62626
85282,52799
85283,50536
85284,18592
85286,41807
85295,43525
85296,42506
85297,32890
85298,29113
85301,67526
85302,39647
85303,31835
85304,27365
85305,12073
85306,24503
85307,9376
85308,66295
85310,19252
85321,4776
85322,764
85323,42225
85324,2892
85325,1087
85326,58276
85331,29264
85332,1548
85333,594
85334,844
85335,34400
85336,502
85337,2611
85338,47588
85339,45040
85340,32436
85342,1284
85344,10537
85345,56473
85347,938
85349,29972
85350,22691
85351,28855
85353,39400
85354,7008
85355,11369
85356,4997
85361,5777
85362,669
85363,6625
85364,74299
85365,48973
85367,21018
85373,18714
85374,46395
85375,28133
85379,46320
85381,24968
85382,40626
85383,46118
85387,10829
85388,28442
85390,8924
85392,37710
85395,28364
85396,17759
85501,12657
85530,1942
85533,3141
85534,2761
85536,577
85539,5109
85540,3415
85541,21546
85542,3440
85543,3644
85544,2305
85546,20594
85550,5227
85551,424
85552,6556
85553,1683
85554,493
85602,9016
85603,6775
85605,468
85606,1183
85607,14428
85608,6190
85610,874
85613,5509
85614,23229
85615,9929
85616,5374
85617,1293
85618,1781
85620,670
85621,22290
85622,6330
85623,4980
85624,1390
85625,2053
85626,1172
85627,1187
85629,25500
85630,2418
85631,3719
85632,759
85634,6409
85635,33574
85637,1313
85638,1991
85641,25657
85643,8239
85645,2235
85648,18992
85650,15136
85653,16405
85658,10683
85701,5286
85704,31795
85705,55463
85706,55691
85708,4187
85710,56168
85711,39451
85712,33239
85713,46071
85714,14683
85715,17066
85716,31134
85718,26262
85719,47503
85730,39055
85735,11108
85736,4998
85737,21293
85739,18474
85741,35149
85742,26868
85743,29552
85745,38005
85746,43873
85747,25077
85748,17727
85749,19121
85750,24207
85755,16143
85756,40965
85757,19264
85901,18279
85911,2293
85920,309
85924,2668
85925,4936
85929,7085
85930,1340
85933,2690
85935,4963
85936,4520
85937,7827
85938,2042
85939,4215
85940,971
85941,10968
86001,44819
86004,36186
86011,8471
86018,879
86020,2213
86021,6325
86022,2209
86023,1830
86024,585
86025,5552
86030,1717
86031,1830
86032,1396
86033,7130
86034,2096
86035,2061
86036,399
86039,1218
86040,10752
86042,2161
86043,2762
86044,3707
86045,11885
86046,5535
86047,15318
86053,2441
86054,1647
86301,22147
86303,17430
86305,17956
86314,37997
86315,7631
86320,2064
86321,2091
86322,11723
86323,15435
86324,4316
86325,5280
86326,24848
86327,9571
86329,1125
86331,521
86332,1683
86333,6759
86334,4847
86335,5143
86336,11694
86337,1215
86351,6734
86401,24893
86403,17185
86404,17042
86406,23095
86409,27752
86411,188
86413,13010
86426,14084
86429,7708
86432,3700
86434,1572
86438,1002
86440,7208
86441,2650
86442,33290
86502,1332
86503,11553
86504,7001
86505,7880
86506,1208
86507,2481
86508,822
86510,4741
86511,3640
86512,2634
86514,2734
86515,4933
86520,1882
86535,1260
86538,2080
86540,1042
86544,1129
86545,1436
86547,1185
86556,1956
87305,3553
87327,9505
87328,2674
