Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income(all),Median income(full time),Native Hawaiian and Other Pacific Islander percent,Total population,White percent,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75001,0.5,12.4,11.5,49.2,23.3,50.8,49677,59080,0,14617,55.3,189000,177800,166750
75002,0.5,9.4,9.9,50.3,14.2,49.7,44417,61945,0.1,69688,74.4,295000,376600,513100
75006,0.2,7.3,8.1,51.3,51.3,48.7,30845,40686,0,50788,75.1,444850,541600,519400
75007,0.5,15.6,9.1,50.8,26.7,49.2,41094,54795,0,53744,69.8,456400,686450,769300
75009,0,0.7,3.1,53.5,20.5,46.5,40291,51318,0,10557,90,29000,26900,33000
75010,0.7,25.1,12.3,50.3,14.1,49.7,49831,58235,0.4,27822,57.6,164000,182950,194800
75013,0.2,24.8,5.8,49.8,6.2,50.2,65821,88458,0,38975,65.5,125000,269200,318850
75019,0.5,23.1,4.2,50.5,12.1,49.5,60932,80470,0,41947,68.7,167600,259050,380150
75020,2,1.2,7.5,50.8,8.4,49.2,26936,37403,0,21891,85.6,159000,230800,326150
75021,2.6,0.6,4.2,52.1,11.2,47.9,32197,44262,0.2,8704,88.6,88000,234600,64000
75022,0.4,12.4,2.8,51.1,8.4,48.9,68120,101107,0,24625,80.9,171000,299500,286000
75023,0.3,13.6,8.7,51.2,13.9,48.8,44360,56301,0,49563,73.1,221950,265350,321800
75024,0.6,34.8,6.3,50.5,6.9,49.5,61500,73719,0.1,42405,54.6,106500,167000,256000
75025,0.3,29,7.5,50.5,7.1,49.5,57822,77886,0.1,53559,58.8,176000,219600,270400
75028,0.4,8.3,4.8,51.2,9.6,48.8,56720,72935,0.1,47056,82,271100,415300,495000
75032,0,3.2,5.8,49.5,18.3,50.5,50102,63189,0,31399,87.8,279350,349700,513950
75034,0.4,13.4,7,51,14.8,49,60462,79717,0,95996,72.4,597000,1546900,1572900
75035,0.4,21.1,8.6,50.5,10.8,49.5,62387,82573,0.1,65264,64.5,147000,191450,311750
75038,0.3,27.6,28.4,49.8,22.8,50.2,33832,41507,0.8,29762,34.2,136000,216850,286700
75039,0.5,39,15.7,49.9,11.6,50.1,65337,72742,0,18010,40.7,89250,124750,92900
75040,0.6,10.9,12,51.2,46.6,48.8,26843,35054,0,62277,60.4,480550,711700,819700
75041,0.5,2.1,8.7,49.1,60.9,50.9,23893,30856,0.1,33304,67.9,261150,409950,415700
75042,0.5,13.1,9.6,49.4,55,50.6,23842,30930,0,39559,57.5,472000,598050,646650
75043,0.3,8.4,21.7,51.9,29.9,48.1,31934,41661,0.1,59951,57.8,471000,532450,603950
75044,0.5,20,12.5,52.6,20.5,47.4,35154,44052,0,40942,57.3,253000,432650,557150
75048,0,13.6,13,51.8,16.6,48.2,43279,53238,0,24203,67,139000,135450,162800
75050,0.4,2.5,17,49.7,53.7,50.3,29766,36081,0,42670,71.8,392450,674350,597300
75051,0.3,1.9,16.7,52.3,62.5,47.7,25422,30960,0,40962,73.9,382150,611600,534450
75052,0.3,10.5,28,50.7,36.6,49.3,38212,48445,0,94133,52.3,412150,640950,844350
75056,0.4,12.7,9.8,48.7,18.8,51.3,44528,54111,0,57115,70.2,363400,430600,545450
75057,0.1,3,10.9,48,45.5,52,30088,36701,0.4,14562,75.5,79000,106000,114050
75058,0.1,0,0.7,51.4,18.4,48.6,36947,46429,0,2697,94.7,6900,24000,27000
75060,0.6,5.4,5.5,50.9,61.6,49.1,25574,32642,0.1,47922,67.3,603650,872700,910400
75061,0.3,3.8,9.4,49.3,65.2,50.7,25437,30582,0.1,54907,65,443200,541700,709700
75062,0.4,8.6,14.6,49,45.8,51,26385,33827,0.4,48553,58.9,610400,750500,794150
75063,0.5,47.5,13.9,52.8,10.4,47.2,61130,72570,0,38383,33.2,235750,314200,391950
75065,0.1,3.2,2.4,50.4,18.4,49.6,39905,51126,0,12457,89.3,54000,93600,137750
