Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75001,12.4,23.3,55.3,14617,189000,177800,166750
75002,9.4,14.2,74.4,69688,295000,376600,513100
75006,7.3,51.3,75.1,50788,444850,541600,519400
75007,15.6,26.7,69.8,53744,456400,686450,769300
75009,0.7,20.5,90,10557,29000,26900,33000
75010,25.1,14.1,57.6,27822,164000,182950,194800
75013,24.8,6.2,65.5,38975,125000,269200,318850
75019,23.1,12.1,68.7,41947,167600,259050,380150
75020,1.2,8.4,85.6,21891,159000,230800,326150
75021,0.6,11.2,88.6,8704,88000,234600,64000
75022,12.4,8.4,80.9,24625,171000,299500,286000
75023,13.6,13.9,73.1,49563,221950,265350,321800
75024,34.8,6.9,54.6,42405,106500,167000,256000
75025,29,7.1,58.8,53559,176000,219600,270400
75028,8.3,9.6,82,47056,271100,415300,495000
75032,3.2,18.3,87.8,31399,279350,349700,513950
75034,13.4,14.8,72.4,95996,597000,1546900,1572900
75035,21.1,10.8,64.5,65264,147000,191450,311750
75038,27.6,22.8,34.2,29762,136000,216850,286700
75039,39,11.6,40.7,18010,89250,124750,92900
75040,10.9,46.6,60.4,62277,480550,711700,819700
75041,2.1,60.9,67.9,33304,261150,409950,415700
75042,13.1,55,57.5,39559,472000,598050,646650
75043,8.4,29.9,57.8,59951,471000,532450,603950
75044,20,20.5,57.3,40942,253000,432650,557150
75048,13.6,16.6,67,24203,139000,135450,162800
75050,2.5,53.7,71.8,42670,392450,674350,597300
75051,1.9,62.5,73.9,40962,382150,611600,534450
75052,10.5,36.6,52.3,94133,412150,640950,844350
75056,12.7,18.8,70.2,57115,363400,430600,545450
75057,3,45.5,75.5,14562,79000,106000,114050
75058,0,18.4,94.7,2697,6900,24000,27000
75060,5.4,61.6,67.3,47922,603650,872700,910400
75061,3.8,65.2,65,54907,443200,541700,709700
75062,8.6,45.8,58.9,48553,610400,750500,794150
75063,47.5,10.4,33.2,38383,235750,314200,391950
75065,3.2,18.4,89.3,12457,54000,93600,137750
75067,10.3,32.4,64.5,66896,397950,729250,564050
75068,4.6,22.1,68.3,55848,163000,323000,630000
75069,1.9,35.1,81.6,36879,324350,532250,614500
75070,8.4,10.6,77.6,93299,390100,842700,655100
75071,4.5,17.4,77,49846,201000,202150,240000
75074,9.2,38,72,48977,494150,901600,899600
75075,9.8,15.2,76.9,35933,219000,292950,313300
75076,0.4,4.1,95.2,7244,42000,97500,69900
75077,4.7,10.8,83.6,36181,256550,301000,350800
75078,3.3,11.2,86.2,20611,96000,208550,279500
75080,9.9,23.7,76.9,50247,429750,656750,704150
75081,19.6,13.4,56.5,37960,313950,447250,541450
75082,22.9,6.8,63.4,23733,51000,97500,99000
75087,2.6,11.8,88.7,33110,273000,466000,566750
75088,4.4,19.6,75,25842,448000,538350,587950
75089,8.3,22.2,67.7,33117,95000,152350,164000
75090,0.7,31.2,77.7,23936,197000,354550,456000
75092,3.3,7.7,84.8,24312,130000,249700,169850
75093,16.7,6.6,71.6,48021,282350,464700,523500
75094,30.6,6.1,52.4,23097,44750,131000,202000
75098,5.2,20.4,76.1,54534,438000,521800,618450
