Zip Code,Total population
75001,14617
75002,69688
75006,50788
75007,53744
75009,10557
75010,27822
75013,38975
75019,41947
75020,21891
75021,8704
75022,24625
75023,49563
75024,42405
75025,53559
75028,47056
75032,31399
75034,95996
75035,65264
75038,29762
75039,18010
75040,62277
75041,33304
75042,39559
75043,59951
75044,40942
75048,24203
75050,42670
75051,40962
75052,94133
75056,57115
75057,14562
75058,2697
75060,47922
75061,54907
75062,48553
75063,38383
75065,12457
75067,66896
75068,55848
75069,36879
75070,93299
75071,49846
75074,48977
75075,35933
75076,7244
75077,36181
75078,20611
75080,50247
75081,37960
75082,23733
75087,33110
75088,25842
75089,33117
75090,23936
75092,24312
75093,48021
75094,23097
75098,54534
75101,710
75103,13967
75104,48568
75109,4096
75110,28847
75114,5930
75115,52377
75116,19996
75117,4007
75119,27514
75124,4229
75125,6236
75126,42409
75132,1864
75134,22106
75135,7113
75137,19640
75140,6752
75141,5815
75142,18702
75143,14138
75144,3377
75146,19071
75147,6736
75148,5774
75149,55797
75150,62297
75152,4694
75154,40225
75155,2946
75156,15720
75158,3793
75159,19440
75160,25315
75161,6577
75165,42048
75166,4057
75167,10616
75169,12779
75172,4109
75173,4166
75180,24112
75181,27588
75189,25560
75201,15185
75202,2029
75203,16351
75204,30370
75205,24211
75206,38762
75207,8028
75208,29448
75209,13898
75210,8243
75211,77600
75212,26120
75214,34145
75215,15664
75216,52895
75217,85249
75218,22264
75219,23277
75220,42642
75223,14351
75224,36468
75225,21568
75226,4790
75227,57806
75228,74605
75229,32390
75230,27521
75231,40464
75232,30714
75233,16318
75234,32589
75235,18794
75236,18542
75237,20295
75238,33009
75240,27875
75241,29398
75243,67445
75244,13613
75246,2276
75248,35464
75249,16100
75251,2368
75252,26493
75253,22721
75254,26602
75287,53903
75401,18830
75402,16931
75407,16367
75409,14010
75414,3184
75418,14318
75422,2946
75423,2749
75424,3765
75426,4953
75428,10802
75432,3519
75433,2752
75435,1374
75440,6201
75442,9848
75446,3553
75449,1484
75452,4306
75453,3102
75454,8807
75455,28560
75457,6131
75459,5207
75460,22226
75462,11691
75472,3931
75473,3879
75474,15047
75479,1859
75482,24802
75489,1061
75490,2399
75491,5646
75494,9931
75495,7797
75496,3436
75497,3585
75501,35692
75503,25916
75550,838
75551,10867
75554,1805
75556,1044
75559,5316
75560,715
75561,5108
75563,4410
75567,5191
75568,2271
75569,3229
75570,10969
75571,3189
75572,4285
75601,16310
75602,22112
75603,5913
75604,30565
75605,30721
75630,2238
75631,3137
75633,13779
75638,5908
75640,5020
75644,12579
75647,12459
75650,8858
75651,2192
75652,17061
75654,12299
75656,4601
75657,8139
75661,3043
75662,26009
75668,2005
75670,17537
75672,16252
75681,2299
75683,3811
75684,7750
75686,13047
75691,3006
75692,5078
75693,6973
75701,34876
75702,28270
75703,40868
75704,9974
75706,9793
75707,14565
75708,7709
75709,5046
75750,3695
75751,16715
75754,6506
75755,5150
75756,4873
75757,12166
75758,8100
75760,2429
75762,12986
75763,6286
75765,7751
75766,26671
75770,3364
75771,21078
75773,12927
75778,3167
75783,7559
75785,10909
75789,7501
75790,4600
75791,13268
75792,2562
75801,15615
75803,22903
75831,5746
75833,3462
75835,10924
75839,5192
75840,6950
75844,6340
75845,3208
75846,2875
75847,1783
75851,4834
75852,4889
75855,2463
75859,1657
75860,6415
75862,9863
75901,31647
75904,33820
75925,4099
75929,1860
75931,2189
75935,13955
75936,842
75938,2686
75939,4939
75941,8974
75944,1409
75946,3209
75948,6037
75949,7376
75951,16072
75954,3079
75956,8533
75961,15484
75964,19086
75965,18811
75966,5287
75968,1883
75969,3726
75972,6040
75974,3245
75975,3727
75976,806
75979,12384
75980,2500
76001,31829
76002,36569
76006,23259
76008,16334
76009,21049
76010,57813
76011,22953
76012,26571
76013,33169
76014,35235
76015,16464
76016,30808
76017,47010
76018,31416
76020,27714
76021,35903
76022,13059
76023,5930
76028,67388
76031,18050
76033,25190
76034,25557
76035,1466
76036,25736
76039,33750
76040,32301
76043,7509
76044,3799
76048,23702
76049,27889
76050,5747
76051,51685
76052,20779
76053,30567
76054,11948
