Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population
84531,29.8,10.7,5.3,8.2,44.5,73.2,12.6,69.1,9.7,63.6,6.9,11.6,3.7,4.3,8,17.8,7.1,5.3,2.9,3.8,13.7,12.5,3.2,9.9,2.1,2.4,4.6,1,1.2,30.9,7.7,998
84536,31.3,6.7,5.3,9.9,44.8,73,12.9,69.1,8.2,62.5,5.4,5.2,6,9.9,6.6,14.6,7.9,6.4,3.7,4.1,12.9,11.5,3.6,8.7,2.5,1.5,2.6,0.8,0.3,30.9,11.1,1821
85003,39.2,3.7,1.7,3.2,49.9,89.1,8.8,87.8,7.3,85.2,11,11.2,7.6,9.6,5.9,6.1,2.4,8.4,6.2,6.5,19.1,16.4,5.7,12.6,3.7,1.4,3.2,0.3,1.4,12.2,4.4,8694
85004,32.3,2.6,2.2,12,58.3,91.4,25.3,90.2,15.5,75.2,8,12.9,5.1,4.7,6.9,4.8,2.2,6.7,5.6,5.1,14.9,13.1,2.7,9.7,2.5,2.8,4.5,0.4,1.3,9.8,2.8,5944
85006,31,7.9,4.8,6.7,48,74.7,9.7,71.3,7.7,67.7,9.4,9.1,8.8,6.3,5.2,15.8,7.9,5.3,5.4,4.5,12.1,10.4,3.7,7.5,1.3,1,2.6,0.6,1,28.7,8.2,27671
85007,33.2,8.7,3.7,5.7,41.9,75.6,9.3,72.8,7.3,69.3,8.4,7.8,7,5.8,5.8,17.1,8.3,7.4,5.9,4,15.4,13.9,4.6,11.5,2.4,1.8,4.5,1.2,1.5,27.2,6.5,14810
85008,28.7,6.4,4.5,7.5,51.9,76.5,14,73.4,11,68.2,11.8,8.5,7.2,5.9,6.7,13.8,7.4,5.3,4.7,3.3,9.2,7.8,2,5.9,1.7,0.8,2.2,0.6,0.8,26.6,8.4,60700
85009,28.7,7.9,4.7,8.5,48.3,73.5,13,70.2,9.2,64.3,8.9,7.7,7.1,6.8,6,16.9,9,5.1,5,3.5,10.5,9,2.5,7,1.8,0.9,2.6,0.9,0.8,29.8,8.1,47810
85012,42.9,4.1,1.7,3.6,39.8,87.1,6.6,85.6,4.7,82.6,6.1,6.5,9,9.8,7,8.5,4.4,5.8,8.7,8.4,26.1,21.9,6.6,17.7,3.7,2.6,7.3,1.8,3,14.4,4.2,6776
85013,38.5,5.4,3,5.1,45.4,83.8,7.7,81.5,5.5,77.8,8.4,10.2,7.9,8.2,7.4,10.3,4.8,8.3,5.2,7.6,18.3,15.4,3.6,10.7,3.2,1.9,3.9,0.6,1.5,18.5,5.2,21025
85014,36.1,4.3,2.8,5,48.2,83,8.6,81,6.4,77.3,8.7,11.3,8.7,8.2,6.5,10.5,6.2,7.2,4.9,5.2,16.9,14.4,4,11.7,2.7,2.2,4.9,1.1,1.6,19,5.7,27410
85015,32.2,7,3.9,6.1,44.5,74.7,9.9,72.5,7.7,68.6,8.9,8.7,6.5,6.5,5.7,14.7,7.7,6.6,4.9,5.1,14.8,12.6,3.4,9.7,2.5,1.5,3.8,1.2,1.2,27.5,8.9,39395
85016,38.5,5,3,4.1,43.6,82.8,6.9,80.8,5.9,78.8,9.3,9.3,7.9,7.1,6.8,11.4,6.4,7.2,6.7,5.2,19.5,17.2,4.6,14.4,3.2,3.1,6.6,1.9,1.6,19.2,4.7,35321
85017,26.5,9.2,5.4,9.8,47.7,70.3,14.1,66.3,9.8,59.4,7.4,6.8,6.8,7.1,6.2,18.7,9.5,5,3.6,3.1,9.3,8.1,2.5,6.2,1.6,0.9,2.1,0.6,0.6,33.7,9.5,41656
85018,38.3,5.6,3.9,5.6,41.7,81.7,7.5,79,5.8,76,7.5,9,7.7,6.1,7.5,11,5.5,7.3,6.6,6.1,19.8,17,3.7,13.8,3.9,2.7,6.2,1.7,1.7,21,6.1,37848
85019,28,9,5.3,9.3,46,71.8,12.2,68.1,8.1,62.1,8.8,5.2,5.8,8.7,6.6,18.1,9.1,4.9,5,3.3,11,9.4,3.3,7.7,1.3,1.4,3.1,1,0.7,31.9,8.5,25994
85020,43.7,6.3,2.2,3.3,34.2,81.9,6.7,80.3,5.6,77.6,7.1,5.3,6.6,6.3,7.8,11.4,5.1,7.8,7.5,6.4,25.1,22.3,6.6,18.8,4.6,3.2,7.6,1.7,2.6,19.7,6.1,33296
85021,33.2,6.5,4,5.8,43.4,76.2,10.4,73.5,8.6,69.5,7.6,7.5,7.5,6.4,6,13.8,7.3,6.3,5,4.3,16.8,14.6,3.5,12.5,3.2,2,5.9,1.6,2.2,26.5,8.7,41310
85022,38.8,4.2,2.8,5.3,41.2,83.1,11,81.2,8.5,77.2,8,7,6.7,5.7,6,10.3,6.1,7.5,7.3,6.6,21.9,19.3,5.4,15.4,3.9,2.9,6,1.4,1.8,18.8,5.7,50242
85023,35.2,6.1,3.1,4.4,41.9,78,8.9,75.8,7.6,73.4,8.6,8,7.3,6.1,6.6,14,7.9,5.3,6.4,5.9,18.7,16.2,5.1,12.7,3.1,2,4.5,1,1.5,24.2,7.1,33612
85024,35,5.6,3.2,4.9,42.9,78.6,7,76.6,5.3,74.3,8.9,10.7,6.3,6.8,8.5,11.6,6,6.4,7.1,4.8,14.9,13.1,4,10.1,3,1.3,3.1,0.6,1.3,23.4,8.6,24598
85027,35.7,5.6,3,4.7,45.4,81.1,8.8,79.1,7.1,76.4,10.2,9,7.1,7.4,8.5,10.4,4.8,6.2,5.5,5.5,16.4,14.1,4.4,10.9,2.6,2.3,3.9,0.8,0.8,20.9,7.5,35529
85028,47.4,4.9,4,5.7,31.1,83.2,4.7,80.7,3.1,78.2,4.3,4.3,6.1,7.6,6.6,10.6,5.7,8,7.5,8.4,31.4,28.4,7,23,6,3.9,10,3.5,2.7,19.3,4.7,19563
85029,35.8,6.4,3.6,5.7,40.7,79,10.5,76.6,8.4,73.1,7.6,7.3,6.4,5.3,7.6,12.7,6.3,7.5,7.6,4.7,16.9,15,3.6,12.1,3.1,2,5.4,1.4,2.1,23.4,7.2,44745
85031,26.9,9.5,5.9,10.2,45.8,70.2,13.5,66.1,9.1,60,6.7,6.3,6.9,6.6,6.4,19.7,10.2,5.7,3.6,3.9,10.5,9.2,2.3,6.6,1.8,1.1,2.4,0.7,0.6,33.9,8.3,31673
85032,36,6,3.5,5.9,43.9,80,9,77.8,6.6,74.2,8.7,8.5,6.7,7.6,6.5,12.1,6.1,6.9,6.8,5.6,17.1,14.9,4.1,11.5,2.9,1.9,4.5,1.3,1.2,22.2,6.6,71603
85033,25.1,9.5,6,9.7,46.6,67.8,13.5,63.7,9.9,58,8.1,6.4,6.6,5.9,5.5,20,10.5,5.4,3.6,3.2,8.8,7.5,2.1,5.6,1,1.3,2.4,0.7,0.5,36.3,10.2,65318
85034,28.9,8.7,3.8,7.3,48,73.7,14.9,71.6,11.5,67.4,7.3,6,6.7,9.3,2.8,18.1,9.3,5.7,5.2,5.4,13.6,11.2,1.9,8.2,3.3,2.1,3,0.1,0.9,28.4,6.6,4480
85035,25.2,9.1,4.8,9.3,48.6,68.6,14.8,65.2,10.3,58.9,9.1,7,6.4,6.5,5.9,19.7,10.6,4.6,3,3.3,8,6.6,1.8,4.7,1.1,0.8,1.7,0.6,0.3,34.8,10.3,57410
85037,27.3,9.6,5.3,8.5,46.7,70.9,12.5,67.3,9.3,62.2,8.3,6.6,7.2,6.8,6.2,18.8,9.1,5.5,4.2,4.2,9.9,8.1,2.7,5.7,1.3,0.7,1.7,0.5,0.6,32.7,8.6,52205
85040,28.5,7.7,4.3,7.6,46.4,72,12.7,69.4,9.4,64.3,9.1,8.3,5.9,6.2,5.4,16.7,9,5.6,4.9,3.6,11.3,10,3,7.7,1.8,1,2.9,0.7,1.2,30.6,9.6,32526
85041,28.8,9.4,4.5,8,44.5,69.3,10.7,66.5,7.1,61.5,7.5,7.9,6.6,7.3,5.7,18.8,9.4,5.4,4.8,3.6,10.6,9.1,2.9,7,1.9,0.8,2.2,0.8,0.7,33.5,10.2,63152
85042,32,7.4,5.4,7.7,46,75.2,10.3,72,7.9,68.1,8.4,8.2,6.4,7.4,6.3,15.2,7.8,5.6,5.9,4.5,13.6,11.6,3.3,9.1,2.8,1.5,3,0.6,0.9,28,7.4,44676
85043,26.6,10.9,5.8,8.7,48.2,68.1,11,63.6,8.2,59.6,7.4,8.5,9.1,6.3,5.4,21.1,10.2,4.2,3.7,3.5,8,5.9,2.4,4.5,0.6,0.8,1.5,0.4,0.4,36.4,9.4,38125
85044,37.3,6.4,2.8,5,42.1,80.8,8.3,79,6,75.5,8.3,9,7.2,6.5,6.5,12.5,6.1,7.2,7.6,6.1,18.4,15.8,3.6,12.3,3.1,2.3,5.7,1.2,2.1,21,5.8,40893
85045,41.5,7.8,7.2,9.1,37.3,78.5,7.9,73,6,69.5,3.5,3.3,5.8,9.5,8.8,15.1,7.3,10,10.8,4.8,13.3,11.5,2.7,8.5,3.2,1.1,2.6,0.5,1,27,4.7,7467
85048,39.7,7.7,6,7.8,38.1,79.1,7.3,75.2,5.5,72.4,6.8,4.8,6.5,6.7,8.9,13.9,6.2,10,8.1,7.1,16.2,12.5,4.4,9.1,2.1,1.1,2.6,0.8,0.8,24.8,4.9,34720
85050,39.6,8.6,4.2,6.1,37.2,76.1,5.9,73.5,4.1,70.5,4.3,6.4,7.6,8.8,8.8,16,7.4,7.8,5.1,4.5,18.8,16.1,3.5,14.2,2.9,2.6,7.8,2.4,2.8,26.5,6.3,30506
85051,32.7,7.2,3.3,6.2,42.1,75.2,10.5,72.9,7.5,68.2,8.3,7.4,6.4,6.4,5.4,15.9,8.7,6.3,5.8,4.9,16.6,14.3,3.6,11.7,3.1,2,5,1.4,1.6,27.1,7.9,43234
85053,35.9,7.4,3.3,6.5,44.3,80.8,10.2,78.4,7.1,73.7,8,8.6,6.6,7.5,6.5,13.5,6,6.7,6.2,6.6,18.1,15.6,3.7,11.5,3,2.4,4.8,1.5,0.9,21.6,4.8,29584
85054,38.2,2.2,2.2,2.8,48.2,89.3,6.5,88.3,5.9,85.8,13.8,12.7,7.7,5.4,7,5.2,3,8.2,5.4,5,21.7,19.3,6.6,16.8,5.1,1.7,5.1,1.7,1.8,11.7,4.3,7023
85083,38.7,9.5,5.7,7.7,36.6,73.2,5,69.9,3,67.1,2.5,5.1,9.2,9,10.4,17.1,7.6,8.1,5.2,5.4,15.3,13.3,4.7,9.9,2.2,1.6,3,0.7,0.8,30.1,7.3,19363
85085,34.3,7.3,2.9,4,45.6,74.8,6.4,72.8,5.3,71.6,7.4,10.4,9.8,8.8,7.3,15.6,8.3,5.3,5.5,4.7,12,10.6,3.1,7.3,2.2,0.8,2,0.7,0.4,27.2,8.7,21478
85086,42.8,7.3,5.1,7.4,35.3,79.8,6.4,75.9,4,72.7,3.3,5.1,6,9.5,8.8,14.5,7.2,8.9,6.4,6.8,21.6,19.1,5.6,14.8,4.5,1.8,4.6,1.6,1.2,24.1,4.5,41785
85087,48.2,5.1,4.8,6.7,29.2,82.6,6.7,80.1,4.8,77.9,3.7,3.9,3.1,6.9,10.1,9.5,4.5,6.9,7.9,8.9,30.8,27.7,9.9,21.9,7.1,2,5,1.6,1.4,19.9,5.6,7976
85118,64.7,2.7,1.3,2.8,14.2,94.6,5.8,93.7,4.4,91.4,1.2,1.1,1.8,3,3.9,4.4,1.7,5.8,10.2,12,60.9,57.2,13.4,48.9,15.4,10.2,20.1,5.7,4.2,6.3,0.7,12439
85119,57.3,3.4,2,3.1,22.7,87.3,5,86.2,3.9,84.5,3.1,4.4,3.6,4.6,4.7,7.5,4.1,6.7,7.7,10.6,46.5,42.1,11.8,35.9,10,7.5,14.1,4.5,2.1,13.8,4.3,21825
85120,52.1,4.6,3.8,5.6,27.7,84.3,6.3,81.4,4.5,78.1,3.6,3.6,5.7,4.7,5.6,9.9,5.3,6.2,7.5,7.4,38.3,35.7,8.3,30.8,8.7,6.7,13.9,3.9,3.3,18.6,4.8,30621
85121,25.7,7.3,3.5,7.8,47.2,72.8,18.2,70.1,13.8,64.4,8.9,5.2,4.6,6.9,3.1,16.8,9.4,7,4.6,1.1,11.8,11.8,2.8,10.7,3.2,2.5,4.7,1.8,0.4,29.9,9.7,2131
85122,35,8.5,4.6,7.5,37.6,74.3,8.5,71.5,5.5,67.4,5.9,7.2,5.8,5.7,5.6,16.6,8.1,5.7,5.6,5.3,21.5,19.4,5,16.3,4.4,3.8,6.8,1.8,1.2,28.5,7.3,56298
85123,35.4,5.2,5.8,7.1,38.3,77.3,9.7,73.1,8.4,70.5,5.7,7.1,4.4,5.6,5.2,13.6,8.3,6.1,5.3,5.2,23.8,22.1,8,18.6,5,3.8,5.6,1.3,0.5,26.9,7.6,11106
85128,34.5,9.5,4.3,7.1,37.8,74.7,8.4,71.8,5.7,66.9,7.8,6.4,5.5,5.4,5.2,17.1,7.6,7.5,7.8,6,18,15.5,5.9,11.9,1.7,2,4.3,1,1.4,28.2,6.7,16466
85131,35.3,4.2,2,3.5,55.1,86.6,10.7,85.5,9.2,82.7,12.6,11.6,10.7,7.5,6.3,8.6,4.4,5.4,5.3,4.6,15.4,13.7,3.9,10.8,3.6,1.5,3.3,1.1,0.8,14.5,3.9,18542
85132,37.7,4.6,2,3.9,49.6,87.6,8.7,86,6.9,83.3,11.1,10,9.9,7.9,5.9,8.5,3.8,7,5.4,5.1,20,17.7,6.2,15,3.9,2.5,4.9,1.5,0.9,14,3.5,35677
85135,54.1,3.4,6.7,9.3,24.4,86,4.3,84.3,1.7,80.6,2.4,3.9,5,2.2,8.2,6.9,3.4,10.6,7.8,16.8,40.1,36.4,5.2,23.3,5.8,7.3,12.3,0.6,4.3,15.7,2.2,464
85137,39,7.3,3.7,5.4,33.8,74.8,7,72.4,5.2,68.9,5.1,6.2,6,5.8,3.8,18.1,10.8,6.6,4.8,6,27.1,25.3,7,21,6.9,3.3,7.1,1.5,2.3,27.6,5.8,2497
85138,35,8.5,4.5,6.6,42.7,74.9,7.9,71.6,5.8,67.9,5.7,7.9,8.3,8.3,6.1,16.7,8.2,4.9,5.4,4.9,17,14.7,5.6,12.1,3,1.5,3.5,0.8,1.2,28.4,7.2,36059
85139,35.7,7.6,4.2,7.2,41.5,75.8,9.6,72.7,6.7,67.7,5,6.7,7.3,8.6,6.6,16.7,9.1,6,5.8,5.7,17,14.6,4.1,11.3,3.5,2,3.7,1.5,0.2,27.3,6.4,18327
85140,30.8,8.2,4.5,8.2,44.5,71.3,9.7,68.4,6,63,7.6,7.8,7.5,7.4,5.9,18.2,10,4.4,4.4,4,13.7,11.8,4.1,9.7,2.7,1.5,2.9,0.7,0.7,31.6,8.9,45504
85141,50.6,4.9,3,8.9,33.5,91.3,19.7,88.3,13.8,78,2.3,2.6,4.4,1.4,5.4,7.5,2.6,17.8,7,7.7,27.6,25.5,5.6,19.9,11.2,1.4,3,0.5,1.2,11.7,1.2,427
85142,33.6,10.7,5.5,7.9,40.6,69.6,6.7,66,4.3,62.7,4.7,6.5,9,8.3,7.3,20.3,9.5,6.1,4.3,4.4,13.1,11.3,3.9,8.7,2.4,1.3,2.4,0.6,0.5,34,8.3,60306
85143,34.9,9.2,5.5,8,41.2,72.9,7.4,69.6,4.8,66.1,5.3,7,8.9,7.1,5.8,18.3,9.1,4.9,3.8,5.9,19.3,17,5.7,13.4,3.9,2.1,3.8,0.9,0.8,30.4,6.6,36764
85145,25.8,10.6,6.3,9.3,53.2,63.4,6.6,59.2,3.7,55,9.7,10.2,15,5.4,3.2,23.1,12.5,2,2,1.8,5.1,4.4,1.2,3.3,0.8,0,1.3,0.8,0.5,40.8,11.4,3016
85147,31.7,8,2.6,11.5,47,82.1,15.1,80.1,6.2,70.2,12,7.1,5.3,4.8,9.2,14.7,6.7,5.5,5.3,5.7,15.7,12,3.1,10,2.7,2.8,4.3,0.8,0.8,19.9,2.6,3811
85172,32.7,5.6,4,5,56.4,73.2,6.7,70.3,5.7,65.8,6.3,13.9,6.9,18.6,2.8,13.4,7.9,6.9,2,0,6.2,6.2,4.6,6.2,0,0,1.6,0,1.6,29.7,12.2,1636
85173,43.9,6,2.7,4.6,34.3,82.6,7,80.4,5.1,78,8,4.5,5.5,6.6,6,11.8,5.8,5.7,7.5,10.3,29.6,27.5,6.3,19.2,3.3,3.6,9.7,2.9,3.2,19.6,5.1,2947
85192,51,6,7.4,10.1,22.5,82.7,5,80.4,2.3,77.4,1.9,2.6,3.3,2.3,14.4,11.3,5.3,3.5,9.3,15.6,38.1,33.1,6.5,22.5,10,4.2,6,1,0.8,19.6,1,1675
85193,35.9,9.1,4.2,7.7,42.8,79.4,8.8,77,5.3,72,6.5,7.3,9.7,6.2,8.6,15.4,6.3,4.3,6.5,4.6,19,17.3,6.4,14.4,4.8,1.5,3.2,0.3,1.4,23,3.4,4408
85194,53.3,6.6,3,3.8,25.3,84.3,6.8,82.2,6,80.7,3.4,3,4,5.1,6.6,10.9,4.3,4.7,5.3,8.5,43.3,40.9,10.5,34.8,11.4,7.1,12.9,3.5,2.3,17.8,3.9,7188
85201,30.6,6.2,3.8,6.2,48.6,76.9,11.8,74.7,9.4,70.1,11.7,7.9,6.9,6.6,5,13.2,7,5.6,5.3,4.2,13.9,12.6,2.5,9.7,2.1,1.9,5.1,1.2,2,25.3,8.3,51817
