Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75001,32.9,2.6,2.1,3.1,60.4,89.1,9.6,87.7,8.5,85.9,19.3,14.3,8.3,6.9,6,6.3,3.7,6.3,5.7,3.9,11.3,9.2,2.6,7.4,2.4,1.5,2.4,0.5,0.5,12.3,3.9,14617,189000,177800,166750
75002,35.7,8.7,5.4,8.2,41,74.1,8.5,70.5,5.7,66.3,5.1,5.3,7.6,9,8,17.8,9.1,8.1,6.4,4.5,12.4,10.3,3,7.9,1.8,1.4,3,1.1,0.5,29.5,6.4,69688,295000,376600,513100
75006,34.8,7.3,4.6,7,42.3,77.3,8.9,73.9,6.5,70.2,8.2,7.1,6.6,6.9,6.9,14.2,6.9,7.3,5.6,5.5,16.4,13.4,3.6,10.8,2.7,2,4.5,1.4,1.2,26.1,7.2,50788,444850,541600,519400
75007,39.5,7,4.5,6.5,40.5,80.6,8,77.5,6,74,5.7,7,7.5,7.7,8,12.6,5.6,8.5,7.5,6,17.6,15.3,4.6,11.7,3.4,2,3.7,0.8,0.8,22.5,5.4,53744,456400,686450,769300
75009,37.5,6.8,4.8,8.6,39.6,77.3,8.2,74.5,4.4,70.2,3.9,8,8.4,6.4,8.4,15,8.3,6,8,4.5,17.4,15.7,3.6,12.9,3.2,2.5,6.1,2,1.6,25.5,5.7,10557,29000,26900,33000
75010,35.2,7.4,4.3,5.7,47.3,79.6,8.6,77.1,7.2,74.1,9,9.2,7.7,8.5,7.5,12.4,5,9.2,6.1,4.6,11.3,8.8,2.6,6.7,2,0.9,2.2,0.7,0.6,22.9,6.1,27822,164000,182950,194800
75013,37.4,11,5.9,7.8,38.7,72.8,6.2,68.9,4.3,66,4.4,4.7,7,10.5,11.1,19.9,8.9,7.9,5,4.1,12.1,10,3.2,8,2.2,1.6,2.6,0.7,0.3,31.1,5.3,38975,125000,269200,318850
75019,40.3,8.3,5.9,8.2,37,77.3,5.5,73.2,3.1,70.4,5.4,4.8,7.2,8.3,9.7,15.2,7,9.8,9.2,5.4,13.4,11.1,3.3,7.9,2.1,1.2,2.6,0.8,0.6,26.8,5.7,41947,167600,259050,380150
75020,42.9,5.5,3.8,6.1,35.2,81.3,7.5,78.8,5.1,75.4,6.6,6.3,5.3,5.7,5.4,11.2,5.7,7,6.6,7.7,28.4,24.5,6.5,20.7,4.4,2.9,9.8,3.4,3.5,21.2,6.2,21891,159000,230800,326150
75021,42.5,8.3,3.4,4.7,31.4,77.3,6,74.8,4.7,72.4,4.3,6.6,5.8,5.4,6.3,15.5,7.3,8,8,7.3,24.4,21.6,5.3,17.2,3.5,3.4,8.4,2.6,2.5,25.2,6.2,8704,88000,234600,64000
75022,40.6,10.8,6.2,8.3,33.9,73.2,5.8,68.9,3.7,65.9,2.3,4.1,5.7,9.8,9.7,18.8,8,11.2,8.6,4.1,11.6,9.8,3.3,7.6,2.4,1.1,1.9,0.4,0.4,31.1,6.1,24625,171000,299500,286000
75023,39.5,6.6,4.5,6.9,40.1,81.1,7.4,77.8,5,74.4,6.5,7.5,7.2,6.9,7.3,11.9,5.3,7.2,7.1,6.9,20.6,17.7,6,13.7,3.6,2,4,0.9,1.1,22.2,5.8,49563,221950,265350,321800
75024,36.6,6.9,4,6,46.1,79.9,7.1,77,5.2,74.5,8.9,8.4,9,8.6,8.7,13.8,6.9,9,6.3,3.7,11.1,9.2,2.9,7.4,1.4,1,3,1,1,23,5.1,42405,106500,167000,256000
75025,39.9,8.4,5.2,7.3,38.5,78.1,7.5,74.3,5.4,71,4.4,5.5,7.1,8.9,9.4,15.5,7.1,9.4,6.4,5.4,15.7,13.6,4.3,10.3,2.7,1.5,3.3,0.9,0.8,25.7,5,53559,176000,219600,270400
75028,39.6,9.2,5.1,7.4,37.4,76.3,7.6,73,5.3,69.1,4.2,5.4,6.5,8.6,10.1,16.3,7.1,9.7,7.4,4.9,13.5,11.1,3.1,8.6,2.4,1.4,3.1,0.9,0.7,27,5.6,47056,271100,415300,495000
75032,39,8.1,6.4,9.2,39.7,77,7.8,73.3,5,69.9,3.9,5.1,7.4,9.1,8.3,15.8,7.7,8.1,7.2,4.6,16.4,14.7,4.6,11.8,2.5,2.8,4.7,0.7,1.2,26.7,4.5,31399,279350,349700,513950
75034,36.4,9.8,4.5,6.4,40.9,72.2,5.9,69.4,4,66.7,4.6,6.9,8.6,10.4,9.2,19.3,9.5,6.5,4.4,4,12.9,11.4,3.4,8.9,2.6,1.7,2.9,0.7,0.5,30.6,6.8,95996,597000,1546900,1572900
75035,36.4,10.1,6,7.9,42.6,71.1,5.4,67.5,3.5,65,3.4,6.4,9.5,11.9,10.5,19.6,9.5,7,4.2,3.2,9.1,7.5,2.3,5.8,1.5,1.1,2.1,0.7,0.3,32.5,7,65264,147000,191450,311750
75038,30.1,5.1,2.6,4.6,54.9,75.6,9.2,74,7.1,71.2,14.7,12.3,8.8,7.5,5.3,13.5,8.4,5.5,3.1,2.8,7.8,6.7,2.4,5,1.5,0.4,1,0.4,0.2,26,9.9,29762,136000,216850,286700
75039,32.4,2.3,0.9,1.5,61.4,82.3,5.5,81.7,4.9,80.8,17.5,16.9,13.4,7.1,4.7,8.7,6.4,4.3,5.5,2.9,6.6,5.3,1.8,3.7,1,0.7,0.9,0.2,0,18.3,8.7,18010,89250,124750,92900
75040,34.1,8.1,4.7,7.4,41.2,75.3,10,72.2,7.2,68,6.5,6.8,6.1,7.1,6,15.6,7.6,7.1,6.8,5.7,15.9,13.6,3.6,10.2,2.8,1.8,3.8,1,1.1,27.8,7.5,62277,480550,711700,819700
75041,29.7,8.9,5.4,7.8,42.9,71,9.7,67.2,7.4,63.1,7.7,7.4,7.2,5.4,6,18.2,9.3,5,4.8,4.4,13.9,11.7,3,9.5,1.9,1.8,4.5,1.3,1.4,32.8,9.2,33304,261150,409950,415700
75042,31.6,7.8,5.4,8.2,42.9,73.3,9.9,69.5,7.1,65.1,6.9,7.1,6.3,7.3,6.4,17.6,9.9,6.6,5.4,3.5,13.7,12.2,3.4,10.2,1.9,2.3,4.8,1.5,1,30.5,7.4,39559,472000,598050,646650
75043,35.1,7.6,3.4,5.8,38.6,75.4,8.3,73,6,69.3,7.4,7.3,5.7,6.5,6.5,16,8.4,6.8,7.2,5.4,17.3,14.9,5.6,11.9,3.2,1.2,3.1,1,0.9,27,7.5,59951,471000,532450,603950
75044,41,6.9,5.4,8.1,39.5,82.4,9,79.2,6.3,75.1,5.1,6.7,6.7,6.5,7.9,12,5,9.1,8,6.3,20.1,17.4,4.7,13.8,3.5,3,5.6,1.4,1.2,20.8,3.4,40942,253000,432650,557150
