Zip Code,Total population,White percent,Asian percent,Black or African American percent,American Indian and Alaska Native percent,Hispanic or Latino percent,Native Hawaiian and Other Pacific Islander percent,Female percent,Male percent,MONTHLY HOUSING COSTS - Median,Median income(all),Median income (full time),Median age,Percent - Under 5 years,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - Under 18 years,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent high school graduate or higher,Percent bachelor's degree or higher,Owner-occupied housing percentage,Renter-occupied housing percentage,Unemployment rate - Population 16 years and over
84531,998,0,0,0,98.8,1.8,0,51.1,48.9,218,14868,25492,29.8,7.7,10.7,5.3,8.2,44.5,73.2,30.9,12.6,69.1,9.7,63.6,6.9,11.6,3.7,4.3,8,17.8,7.1,5.3,2.9,3.8,13.7,12.5,3.2,9.9,2.1,2.4,4.6,1,1.2,72.3,2.1,0.92,0.08,8.9
84536,1821,6.2,0,0,93.8,0.3,0,51,49,223,16518,20069,31.3,11.1,6.7,5.3,9.9,44.8,73,30.9,12.9,69.1,8.2,62.5,5.4,5.2,6,9.9,6.6,14.6,7.9,6.4,3.7,4.1,12.9,11.5,3.6,8.7,2.5,1.5,2.6,0.8,0.3,80.7,5.3,0.85,0.15,9.3
85003,8694,78.9,1.2,9.8,3.2,33.2,0,44,56,972,38722,49150,39.2,4.4,3.7,1.7,3.2,49.9,89.1,12.2,8.8,87.8,7.3,85.2,11,11.2,7.6,9.6,5.9,6.1,2.4,8.4,6.2,6.5,19.1,16.4,5.7,12.6,3.7,1.4,3.2,0.3,1.4,85.3,38.2,0.37,0.63,4
85004,5944,77.4,5.6,6.5,1.7,31.2,0,45.5,54.5,932,22120,42528,32.3,2.8,2.6,2.2,12,58.3,91.4,9.8,25.3,90.2,15.5,75.2,8,12.9,5.1,4.7,6.9,4.8,2.2,6.7,5.6,5.1,14.9,13.1,2.7,9.7,2.5,2.8,4.5,0.4,1.3,84,39,0.25,0.75,8.5
85006,27671,49,0.6,4.7,3,65.9,0.1,46.9,53.1,790,23466,31203,31,8.2,7.9,4.8,6.7,48,74.7,28.7,9.7,71.3,7.7,67.7,9.4,9.1,8.8,6.3,5.2,15.8,7.9,5.3,5.4,4.5,12.1,10.4,3.7,7.5,1.3,1,2.6,0.6,1,61.8,19.5,0.38,0.62,9.5
85007,14810,57.4,3.5,13.9,2.6,53.2,0.1,50.4,49.6,841,25827,34859,33.2,6.5,8.7,3.7,5.7,41.9,75.6,27.2,9.3,72.8,7.3,69.3,8.4,7.8,7,5.8,5.8,17.1,8.3,7.4,5.9,4,15.4,13.9,4.6,11.5,2.4,1.8,4.5,1.2,1.5,68.7,22,0.35,0.65,8.3
85008,60700,52.5,0.9,11.7,3.3,57,0.5,48,52,829,22397,30321,28.7,8.4,6.4,4.5,7.5,51.9,76.5,26.6,14,73.4,11,68.2,11.8,8.5,7.2,5.9,6.7,13.8,7.4,5.3,4.7,3.3,9.2,7.8,2,5.9,1.7,0.8,2.2,0.6,0.8,69.2,17.8,0.25,0.75,7.4
85009,47810,79.1,0.3,5.4,1.9,80.9,0,44.6,55.4,728,22155,26983,28.7,8.1,7.9,4.7,8.5,48.3,73.5,29.8,13,70.2,9.2,64.3,8.9,7.7,7.1,6.8,6,16.9,9,5.1,5,3.5,10.5,9,2.5,7,1.8,0.9,2.6,0.9,0.8,54.1,5.8,0.45,0.55,7.7
85012,6776,88.7,2,4.7,2.1,13,0,48.1,51.9,1093,45311,53906,42.9,4.2,4.1,1.7,3.6,39.8,87.1,14.4,6.6,85.6,4.7,82.6,6.1,6.5,9,9.8,7,8.5,4.4,5.8,8.7,8.4,26.1,21.9,6.6,17.7,3.7,2.6,7.3,1.8,3,94.9,52.7,0.53,0.47,3.8
85013,21025,71.8,3.3,6.1,4.5,25,0,47.2,52.8,1024,37324,45720,38.5,5.2,5.4,3,5.1,45.4,83.8,18.5,7.7,81.5,5.5,77.8,8.4,10.2,7.9,8.2,7.4,10.3,4.8,8.3,5.2,7.6,18.3,15.4,3.6,10.7,3.2,1.9,3.9,0.6,1.5,92.2,43.4,0.45,0.55,6.2
