Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage
84531,998,0,218,29.8,44.5,11.6,3.8,13.7,12.5,3.2,9.9,2.1,2.4,4.6,1,0.92,0.08
84536,1821,0,223,31.3,44.8,5.2,4.1,12.9,11.5,3.6,8.7,2.5,1.5,2.6,0.8,0.85,0.15
85003,8694,1.2,972,39.2,49.9,11.2,6.5,19.1,16.4,5.7,12.6,3.7,1.4,3.2,0.3,0.37,0.63
85004,5944,5.6,932,32.3,58.3,12.9,5.1,14.9,13.1,2.7,9.7,2.5,2.8,4.5,0.4,0.25,0.75
85006,27671,0.6,790,31,48,9.1,4.5,12.1,10.4,3.7,7.5,1.3,1,2.6,0.6,0.38,0.62
85007,14810,3.5,841,33.2,41.9,7.8,4,15.4,13.9,4.6,11.5,2.4,1.8,4.5,1.2,0.35,0.65
85008,60700,0.9,829,28.7,51.9,8.5,3.3,9.2,7.8,2,5.9,1.7,0.8,2.2,0.6,0.25,0.75
85009,47810,0.3,728,28.7,48.3,7.7,3.5,10.5,9,2.5,7,1.8,0.9,2.6,0.9,0.45,0.55
85012,6776,2,1093,42.9,39.8,6.5,8.4,26.1,21.9,6.6,17.7,3.7,2.6,7.3,1.8,0.53,0.47
85013,21025,3.3,1024,38.5,45.4,10.2,7.6,18.3,15.4,3.6,10.7,3.2,1.9,3.9,0.6,0.45,0.55
85014,27410,3.3,935,36.1,48.2,11.3,5.2,16.9,14.4,4,11.7,2.7,2.2,4.9,1.1,0.37,0.63
85015,39395,6.3,772,32.2,44.5,8.7,5.1,14.8,12.6,3.4,9.7,2.5,1.5,3.8,1.2,0.36,0.64
85016,35321,3,995,38.5,43.6,9.3,5.2,19.5,17.2,4.6,14.4,3.2,3.1,6.6,1.9,0.46,0.54
85017,41656,5,729,26.5,47.7,6.8,3.1,9.3,8.1,2.5,6.2,1.6,0.9,2.1,0.6,0.38,0.62
85018,37848,4,1051,38.3,41.7,9,6.1,19.8,17,3.7,13.8,3.9,2.7,6.2,1.7,0.54,0.46
85019,25994,3.7,876,28,46,5.2,3.3,11,9.4,3.3,7.7,1.3,1.4,3.1,1,0.48,0.52
85020,33296,1.8,910,43.7,34.2,5.3,6.4,25.1,22.3,6.6,18.8,4.6,3.2,7.6,1.7,0.53,0.47
85021,41310,4.4,855,33.2,43.4,7.5,4.3,16.8,14.6,3.5,12.5,3.2,2,5.9,1.6,0.39,0.61
85022,50242,4.1,988,38.8,41.2,7,6.6,21.9,19.3,5.4,15.4,3.9,2.9,6,1.4,0.55,0.45
