Zip Code,Total population,Asian percent,MONTHLY HOUSING COSTS - Median,Median age,Percent - 15 to 44 years,Percent - 30 to 34 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Owner-occupied housing percentage,Renter-occupied housing percentage,Fy 2017 Sales,Fy 2018 Sales,FY 2019 Sales
75001,14617,12.4,1248,32.9,60.4,14.3,3.9,11.3,9.2,2.6,7.4,2.4,1.5,2.4,0.5,0.18,0.82,189000,177800,166750
75002,69688,9.4,1567,35.7,41,5.3,4.5,12.4,10.3,3,7.9,1.8,1.4,3,1.1,0.79,0.21,295000,376600,513100
75006,50788,7.3,1105,34.8,42.3,7.1,5.5,16.4,13.4,3.6,10.8,2.7,2,4.5,1.4,0.52,0.48,444850,541600,519400
75007,53744,15.6,1340,39.5,40.5,7,6,17.6,15.3,4.6,11.7,3.4,2,3.7,0.8,0.74,0.26,456400,686450,769300
75009,10557,0.7,1626,37.5,39.6,8,4.5,17.4,15.7,3.6,12.9,3.2,2.5,6.1,2,0.8,0.2,29000,26900,33000
75010,27822,25.1,1363,35.2,47.3,9.2,4.6,11.3,8.8,2.6,6.7,2,0.9,2.2,0.7,0.44,0.56,164000,182950,194800
75013,38975,24.8,2060,37.4,38.7,4.7,4.1,12.1,10,3.2,8,2.2,1.6,2.6,0.7,0.76,0.24,125000,269200,318850
75019,41947,23.1,1741,40.3,37,4.8,5.4,13.4,11.1,3.3,7.9,2.1,1.2,2.6,0.8,0.7,0.3,167600,259050,380150
75020,21891,1.2,758,42.9,35.2,6.3,7.7,28.4,24.5,6.5,20.7,4.4,2.9,9.8,3.4,0.64,0.36,159000,230800,326150
75021,8704,0.6,694,42.5,31.4,6.6,7.3,24.4,21.6,5.3,17.2,3.5,3.4,8.4,2.6,0.77,0.23,88000,234600,64000
75022,24625,12.4,2278,40.6,33.9,4.1,4.1,11.6,9.8,3.3,7.6,2.4,1.1,1.9,0.4,0.95,0.05,171000,299500,286000
75023,49563,13.6,1347,39.5,40.1,7.5,6.9,20.6,17.7,6,13.7,3.6,2,4,0.9,0.63,0.37,221950,265350,321800
75024,42405,34.8,1460,36.6,46.1,8.4,3.7,11.1,9.2,2.9,7.4,1.4,1,3,1,0.43,0.57,106500,167000,256000
75025,53559,29,1547,39.9,38.5,5.5,5.4,15.7,13.6,4.3,10.3,2.7,1.5,3.3,0.9,0.71,0.29,176000,219600,270400
75028,47056,8.3,1805,39.6,37.4,5.4,4.9,13.5,11.1,3.1,8.6,2.4,1.4,3.1,0.9,0.83,0.17,271100,415300,495000
75032,31399,3.2,1581,39,39.7,5.1,4.6,16.4,14.7,4.6,11.8,2.5,2.8,4.7,0.7,0.83,0.17,279350,349700,513950
75034,95996,13.4,1791,36.4,40.9,6.9,4,12.9,11.4,3.4,8.9,2.6,1.7,2.9,0.7,0.71,0.29,597000,1546900,1572900
75035,65264,21.1,1866,36.4,42.6,6.4,3.2,9.1,7.5,2.3,5.8,1.5,1.1,2.1,0.7,0.8,0.2,147000,191450,311750
75038,29762,27.6,994,30.1,54.9,12.3,2.8,7.8,6.7,2.4,5,1.5,0.4,1,0.4,0.15,0.85,136000,216850,286700
75039,18010,39,1429,32.4,61.4,16.9,2.9,6.6,5.3,1.8,3.7,1,0.7,0.9,0.2,0.19,0.81,89250,124750,92900
75040,62277,10.9,1079,34.1,41.2,6.8,5.7,15.9,13.6,3.6,10.2,2.8,1.8,3.8,1,0.72,0.28,480550,711700,819700
75041,33304,2.1,940,29.7,42.9,7.4,4.4,13.9,11.7,3,9.5,1.9,1.8,4.5,1.3,0.58,0.42,261150,409950,415700
75042,39559,13.1,885,31.6,42.9,7.1,3.5,13.7,12.2,3.4,10.2,1.9,2.3,4.8,1.5,0.5,0.5,472000,598050,646650
75043,59951,8.4,1085,35.1,38.6,7.3,5.4,17.3,14.9,5.6,11.9,3.2,1.2,3.1,1,0.57,0.43,471000,532450,603950
75044,40942,20,1187,41,39.5,6.7,6.3,20.1,17.4,4.7,13.8,3.5,3,5.6,1.4,0.67,0.33,253000,432650,557150
75048,24203,13.6,1541,37.2,41.8,7.2,5.1,14.4,11.7,4.3,9.3,3.2,0.9,1.8,0.8,0.87,0.13,139000,135450,162800
75050,42670,2.5,944,30,46.9,8.1,4.2,11.7,9.9,2.7,7.5,2,1.2,2.8,0.7,0.43,0.57,392450,674350,597300
75051,40962,1.9,862,30.9,44.8,8,3.9,13.1,11.6,3,9.2,2,2.3,4.2,0.8,0.47,0.53,382150,611600,534450
75052,94133,10.5,1288,34.9,43.5,7.3,4.5,13,11.2,4.1,8.5,1.9,1.1,2.4,0.7,0.75,0.25,412150,640950,844350
75056,57115,12.7,1420,34.2,46.6,8.3,4.1,10.4,8.5,2.6,6.3,2,0.8,1.7,0.5,0.64,0.36,363400,430600,545450
75057,14562,3,1085,32.4,48.3,9.5,4.4,12.1,10.6,2.9,7.8,1.9,1.6,3,1.1,0.35,0.65,79000,106000,114050
75058,2697,0,1281,42,35,6,3.7,19.1,17.6,5.3,15.5,3.2,1.4,6.9,0.8,0.78,0.22,6900,24000,27000
75060,47922,5.4,909,32.8,41.7,7,4.3,14.1,12.1,3.7,9.8,2.6,1.7,3.5,0.8,0.62,0.38,603650,872700,910400
75061,54907,3.8,896,30.6,45.9,7.4,3.4,11.8,10.7,2.8,8.4,2,1.3,3.5,1,0.38,0.62,443200,541700,709700
75062,48553,8.6,949,31.4,45.8,7.1,4.3,13.2,11.4,2.3,8.9,2.4,2.2,4.2,1.1,0.43,0.57,610400,750500,794150
75063,38383,47.5,1303,33.6,51.2,12.9,2.9,8,7,1.9,5.1,1.4,0.6,1.8,0.7,0.4,0.6,235750,314200,391950
75065,12457,3.2,1265,39.5,39.2,8,4.9,17.3,15,4.2,12.4,4.7,2.6,3.5,0.4,0.77,0.23,54000,93600,137750
75067,66896,10.3,1142,31.6,49.2,9.7,3.4,10.7,9.3,3.3,7.2,1.7,1,2.3,0.7,0.38,0.62,397950,729250,564050
75068,55848,4.6,1576,33.2,47.7,9.8,3.5,9.8,8.5,3,6.3,1.4,0.8,1.8,0.6,0.78,0.22,163000,323000,630000
75069,36879,1.9,1021,36.4,39.7,6.6,3.9,20.4,18.8,4.4,16.4,3.3,3.6,8.8,3,0.52,0.48,324350,532250,614500
75070,93299,8.4,1702,36.2,41.1,7.1,4.6,13.6,11.8,3.1,9,2.7,1.7,3.2,1,0.73,0.27,390100,842700,655100
75071,49846,4.5,1634,34.8,44.3,7.4,4.1,12.5,11.1,3.5,8.5,1.8,1.2,3.2,0.9,0.71,0.29,201000,202150,240000
75074,48977,9.2,1201,33.8,45.5,7.9,4.8,14.5,12.1,3.6,9.7,2.4,2,3.7,0.9,0.58,0.42,494150,901600,899600
75075,35933,9.8,1212,41.9,38.1,6.6,6.7,25.8,23.3,6.9,19.1,4.6,3.5,7.6,2.1,0.65,0.35,219000,292950,313300
75076,7244,0.4,810,50.2,27.3,4.8,8.5,33,29.3,8.2,24.5,8.9,4.6,7.3,1.9,0.75,0.25,42000,97500,69900
75077,36181,4.7,1640,42.1,35.7,5.2,4.8,17,14.8,4.5,12.3,3.4,2.1,4.4,0.9,0.8,0.2,256550,301000,350800
75078,20611,3.3,2389,34.4,41.1,5.9,3.6,9.9,8.5,3,6.3,2.2,0.6,1.2,0.2,0.88,0.12,96000,208550,279500
75080,50247,9.9,1251,34.8,43.8,7.3,4.8,20.2,17.8,4.2,15.4,3.5,2.6,7.7,2.2,0.55,0.45,429750,656750,704150
75081,37960,19.6,1233,37.1,41,8.2,6.4,21.4,18.1,6.1,15,4.1,2,4.8,1.5,0.57,0.43,313950,447250,541450
75082,23733,22.9,1526,41.2,37.2,5,6.8,19.7,16.7,5.7,12.9,4,1.3,3.2,0.9,0.73,0.27,51000,97500,99000
75087,33110,2.6,1525,37.8,38.1,7,4.9,18.7,16.7,3.9,13.9,4.3,3,5.6,1,0.78,0.22,273000,466000,566750
75088,25842,4.4,1412,41.3,36.5,7.2,7.6,19.4,15.9,6,11.8,3.2,1.2,2.7,0.5,0.86,0.14,448000,538350,587950
75089,33117,8.3,1550,36.6,39.9,6.6,3.8,12.7,10.3,3.5,8.9,2.4,1.1,3,1.2,0.89,0.11,95000,152350,164000
75090,23936,0.7,801,31.6,40.8,5.5,3.9,16.9,15.5,4.2,13,3,2.6,5.8,1.4,0.62,0.38,197000,354550,456000
75092,24312,3.3,859,40.5,38.4,6.4,7.3,24.1,20.9,5.8,16.8,4.4,2.8,6.5,2.4,0.55,0.45,130000,249700,169850
75093,48021,16.7,1597,43.3,35.3,5.8,6.9,21.4,18.4,5.5,14.5,3.1,2.5,5.9,1.7,0.64,0.36,282350,464700,523500
75094,23097,30.6,2131,37.4,38.4,5.4,5.3,13.8,11.6,3.1,8.6,2.4,1.8,3.1,0.7,0.84,0.16,44750,131000,202000
75098,54534,5.2,1455,34.3,42.5,6.9,3.7,11.6,9.8,3.2,7.9,2.1,0.9,2.5,1.1,0.8,0.2,438000,521800,618450
75101,710,0,661,33,36.8,4.1,1.5,16.1,15.5,2.5,14.5,6.5,2.8,5.5,2.4,0.72,0.28,14000,23500,12000
75103,13967,1.6,709,43.6,35.9,4.7,6.6,28.3,24.9,8.5,21.7,3.8,4.8,9.4,2.9,0.79,0.21,203000,299400,412850
75104,48568,2.8,1333,34.4,42,5.5,5.4,14.1,11.6,3.6,8.7,2.3,1.2,2.8,0.8,0.7,0.3,347150,492150,490100
75109,4096,0.3,995,45.1,31.3,4.8,7.3,28.1,25.5,6.3,20.8,6.4,5.7,8.1,0.9,0.85,0.15,73550,90950,146400
75110,28847,0.9,736,36.9,38,5.1,5.5,20.5,17.7,5.3,14.9,3.7,2.1,6,2.1,0.62,0.38,352350,805500,886200
75114,5930,0.2,1159,37.9,40.3,6.5,3.8,13.9,12.4,5.1,10.1,2.7,0.7,2.3,1.5,0.8,0.2,14000,17000,25000
75115,52377,0.5,1225,39.4,37,5.5,7.2,20.9,17.7,5.5,13.6,3,2.2,5.1,1.4,0.63,0.37,333600,480150,481450
75116,19996,0.7,937,34,39.1,6.3,5.3,18.8,16.8,4.2,13.5,3.5,2.3,5.8,1.9,0.58,0.42,268000,479100,525050
75117,4007,0,767,43.7,34.2,3.7,6,27.5,24.8,5.4,21.5,6.8,4.2,9.3,2,0.74,0.26,37000,70000,59800
75119,27514,0.4,843,34.8,39.7,6.5,7.1,19.3,15.4,4.2,12.1,2.7,2.1,5.2,1.7,0.64,0.36,379450,779450,887200
75124,4229,0,598,48.7,33.1,4.5,5.9,27.1,25.3,6.8,21.2,3.3,3.4,11.1,4.3,0.74,0.26,65000,110100,75500
75125,6236,0.1,829,33.6,36.6,4.4,5.1,17.3,15.4,3.6,12.2,3.1,2.8,5.5,2.1,0.77,0.23,126750,114750,134000
75126,42409,1.8,1520,32.2,43.5,8.8,4,10.8,9,2.4,6.8,2.1,1,2.4,0.7,0.88,0.12,364400,411050,444850
75132,1864,0,1523,29.9,41.5,11.7,3.7,8.4,7.2,3.2,4.7,0.6,0,0.9,0,0.94,0.06,15000,36750,32000
75134,22106,0.6,1058,31.6,42.9,7.6,3.5,11.6,10,3.1,8.1,2.4,1,2.6,0.9,0.58,0.42,51850,100500,94800
75135,7113,0.3,1066,34.6,38.2,6.9,5.2,16.2,14.3,3.4,11,4.1,2.2,3.6,0.8,0.83,0.17,59000,84750,96300
75137,19640,0.7,1164,39.8,40.6,5.4,5.7,20.4,17.7,5.2,14.7,3.7,2.8,5.8,1.7,0.71,0.29,177500,325000,360950
75140,6752,0.2,610,41,32.2,8.5,7.6,26.8,23,6.5,19.2,3.4,3.5,9.3,2.2,0.7,0.3,66000,97450,87200
75141,5815,0,822,32.1,58.8,12.4,2.4,8,7.2,2.4,5.5,0.9,1,2.2,0.4,0.67,0.33,111300,166050,219200
75142,18702,0,883,37.1,41.4,6.4,5.3,18.5,16.5,4.6,13.2,3.2,2.6,5.3,1.3,0.74,0.26,202000,327950,384800
75143,14138,0.1,710,45.2,32.8,4.2,6.5,28.3,25.8,7,21.7,5.7,4.7,9,2.3,0.76,0.24,216100,353500,311050
75144,3377,0,557,40.5,34.5,6.5,7.7,28.7,26.3,6.4,21,4.3,4.2,10.3,2.7,0.68,0.32,152000,134000,101450
75146,19071,0.1,1077,33.1,40.4,6.2,5.2,13.8,11,2.9,8.6,1.7,1.8,4,0.9,0.64,0.36,142400,232500,366400
75147,6736,0.9,747,37.4,38.8,6.6,6.2,21.5,19.7,3.4,15.3,4.7,2.6,7.1,2.6,0.7,0.3,82050,119400,94600
75148,5774,0,616,42.6,29.8,4.5,8.7,29.9,25.5,4.6,21.1,6.9,4.5,9.6,3.1,0.69,0.31,71650,73800,127300
75149,55797,2,982,32.9,41.4,7.2,5.1,14.7,12.7,3.4,9.5,2.6,1.4,3.5,1.4,0.61,0.39,444650,706200,764300
75150,62297,3.3,1005,32.2,42.8,7.2,5,15.6,13.5,3.5,10.6,2,2,5.2,1.4,0.46,0.54,665800,825750,820250
75152,4694,0.1,969,32,37.9,8.3,5.8,16.5,14.3,5.2,10.6,3.9,1.1,1.6,0.1,0.8,0.2,43000,83400,92000
75154,40225,0.9,1226,34.9,41,7,5.7,15.6,13,3.9,10,2.7,1.8,3.4,0.7,0.77,0.23,438900,651200,696350
75155,2946,0,806,33.2,37.3,5.3,2.4,13.9,12.5,3,11.5,3,2.4,5.6,2.4,0.81,0.19,33000,48000,37000
75156,15720,0.5,787,46.6,32.4,4.3,8.5,31.1,26.7,7.3,22.7,5.6,4.4,9.7,3.4,0.79,0.21,44700,67000,96400
75158,3793,0.2,880,47.7,28.1,7.5,9.1,24.8,20.2,4.5,15.7,4.1,4.8,7.1,1.7,0.89,0.11,4000,11000,13700
75159,19440,0.6,882,38.3,41.2,7.2,3.8,14.5,12.2,3.5,10.7,3.4,1.1,3.8,1.3,0.73,0.27,178400,343900,632950
75160,25315,1.5,936,36.7,38.4,5.3,4.9,19.2,16.9,4.6,14.3,3.8,2.2,5.8,2.1,0.61,0.39,272450,383050,452750
75161,6577,0,925,41.2,34.1,7.4,9.9,24.6,21.8,6.8,14.7,3.2,1.7,4.7,1.6,0.79,0.21,68000,105450,106250
75163,2440,0,616,50,25,2.1,7.5,37,35.8,7.2,29.4,9.8,5.4,12.4,2.6,0.73,0.27,1000,0,0
75165,42048,0.8,1050,35.1,40.2,6.6,4.7,18.4,16.2,4.6,13.7,3.5,2.3,5.6,1.7,0.61,0.39,637650,922550,1066350
75166,4057,3.5,1652,33.2,42,8.9,4.7,10.8,8.6,2.5,6.1,1.6,1.3,2,0.5,0.87,0.13,32000,51550,75000
75167,10616,0.1,1342,37.4,42.2,7.8,6.5,17.8,14.6,5.2,11.3,2.3,2.2,3.8,0.8,0.91,0.09,19000,23000,29000
75169,12779,0.2,692,46,32.1,4,6.9,28.6,25.5,6.8,21.7,6,4.8,8.8,2.2,0.79,0.21,84800,124200,131600
75172,4109,0.4,600,32.1,49.3,8.5,1.7,9.8,8.9,2.8,8.1,2.6,2.3,2.7,0,0.55,0.45,47000,106000,96700
75173,4166,0.4,1244,40.6,37.4,9.2,7.6,21.9,18.4,6.8,14.3,4.2,1.7,3.3,0.9,0.87,0.13,24000,20750,49000
75180,24112,0.9,926,26.8,45.4,6.8,3.9,9.9,8.2,2.5,6,1.3,0.6,2.3,1.1,0.6,0.4,192850,339300,386800
75181,27588,3.2,1476,34.7,41.1,4.7,5.4,13.1,10,3.9,7.7,1.7,0.7,2.2,1,0.84,0.16,76000,33000,32650
75182,6077,25.2,2364,38,38.4,6.7,6.6,15.4,12.7,3.2,8.8,2.8,1.5,2.8,1,0.96,0.04,0,15000,30000
75189,25560,0.9,1290,35,38.9,7.5,4.4,14.6,12.8,4.1,10.2,3,1.1,3,0.9,0.84,0.16,98000,166100,140500
75201,15185,3.9,1617,31,72.3,17.7,3.2,7.8,6.6,1.9,4.7,1,1.2,1.7,0.4,0.1,0.9,39000,101150,96000
75202,2029,4,1534,30.9,68.5,18.1,3.8,5.6,4,1,1.8,0.8,0,0,0,0.2,0.8,35000,28000,23050
75203,16351,0.6,714,32.3,44.2,6.2,4.8,13.5,11.5,3.3,8.7,1.7,1.7,3.6,1.4,0.29,0.71,157450,232000,215600
75204,30370,8,1431,30.2,68.1,14.3,2.9,8.7,7.5,2.5,5.8,1.9,0.6,1.4,0.6,0.2,0.8,102000,114000,157300
75205,24211,5.7,2468,34.4,43.4,5.1,5.3,17.3,14.9,3.6,11.9,3.3,1.5,5.1,1.7,0.63,0.37,32000,34500,35000
75206,38762,6.9,1245,31.2,62.5,13.8,4.4,11.8,9.5,2.3,7.4,1.7,1.2,3.4,1,0.26,0.74,466750,384900,425350
75207,8028,1.3,1519,32.1,77.6,17.3,1.8,2.7,1.4,0.6,0.9,0.1,0.1,0.1,0,0,1,82000,150000,160050
75208,29448,0.7,961,34.1,44.8,8.5,5.3,15,12.7,4,9.7,2.3,1.7,3.4,1,0.54,0.46,124000,159400,156200
75209,13898,3,1560,40.2,41.3,11.4,7,21.5,19.2,5.1,14.5,3.2,2.9,6.2,1.8,0.58,0.42,356000,472800,660450
75210,8243,0,663,30.4,44.9,7.7,3.2,11.7,10.6,2.3,8.5,2.1,1.3,4.1,1.6,0.26,0.74,44000,52100,70450
75211,77600,0.6,819,28.4,45.8,7.4,4.1,11.9,10.1,2.9,7.8,2,1.4,2.8,0.8,0.5,0.5,186050,392150,589300
75212,26120,1.4,612,28.1,41.7,6.4,3.7,14,12.8,3.4,10.3,2.2,2,4.7,1.3,0.54,0.46,107000,132550,181750
75214,34145,2.7,1442,37.5,43.2,9.9,5.4,18.7,16.4,4.2,13.3,3,1.6,6.1,1.8,0.56,0.44,105000,117950,143300
75215,15664,0.2,719,39.5,40,7.2,6.3,19.7,16.7,4.8,13.4,3.3,1.6,5.3,1.4,0.35,0.65,115000,226750,213900
75216,52895,0,680,34.2,38.6,6.6,5.3,18.4,16.4,4.1,13,2.9,2.6,6.1,2,0.51,0.49,201950,307800,354450
75217,85249,0.2,813,28.6,43.1,6.2,4.3,11.3,9.6,2.7,7,1.8,1.2,2.4,0.6,0.61,0.39,280900,387350,458350
75218,22264,1.4,1200,42.4,39.4,9.9,8.3,24.2,20.7,6.4,15.9,3.4,2.7,6.1,1.3,0.66,0.34,146650,229950,247600
75219,23277,9.1,1331,37.8,54,13.2,5.2,15.6,13.2,3.3,10.4,2.6,2.4,4.5,1.1,0.35,0.65,130800,181000,175700
75220,42642,0.8,833,30.7,49.1,8.3,3.2,9.9,8.7,2.4,6.6,1.9,1.1,2.4,0.7,0.31,0.69,603700,726750,822900
75223,14351,0.8,828,33.2,41.2,7.6,4.2,13.8,12.5,3.9,9.6,2.1,1.6,3.7,1.2,0.55,0.45,217250,273800,307100
75224,36468,1.4,801,26.8,45.5,6.7,5,13.1,10.8,3.2,8,1.9,1.4,2.9,1,0.48,0.52,50000,79300,80900
75225,21568,3.7,2646,45.7,28,3.1,6.7,27.8,25.2,6.3,21,3.9,4.1,10.9,2.8,0.75,0.25,84000,119000,148600
75226,4790,1,1133,34.3,53.5,16.8,4.6,7.5,4.4,2,2.9,0.4,0,0.5,0.5,0.03,0.97,37000,64000,102000
75227,57806,0.7,874,28.4,41.2,7,3.7,11.2,9.6,2.8,7.4,1.9,1.1,2.7,0.9,0.58,0.42,118050,168300,182050
75228,74605,2.2,845,31,43,7.4,5.1,14.4,12.2,3.2,9.3,1.7,1.5,4.3,1.3,0.46,0.54,182600,244400,296800
75229,32390,2.7,1478,38.2,39.6,6.7,5.8,17.9,15.1,3.5,12.1,2.8,2.4,5.7,1.4,0.72,0.28,124900,213450,318200
75230,27521,4,1428,46.2,34,4.9,7.5,28.6,25.1,6.5,21.1,5.1,4.1,9.5,2.5,0.61,0.39,131000,171300,121900
75231,40464,8.5,842,31,48.4,9.1,3.5,11.5,9.5,2.7,8,1.4,1.7,3.9,0.8,0.2,0.8,263750,365150,339850
75232,30714,0.2,847,36.4,36.2,7.1,6.8,22.9,20.2,5.9,16.1,4.1,3.4,6.2,1.4,0.58,0.42,270750,371600,411600
75233,16318,0.2,897,32.2,39.9,6.5,4.4,15.2,13.3,3.9,10.7,3.1,0.9,3.8,1.4,0.51,0.49,13000,30000,37000
75234,32589,5.8,1128,38.6,41,6.2,4.9,20.2,17.9,4.5,15.4,3.3,2.8,7.6,2.3,0.62,0.38,352650,594200,799500
75235,18794,6.9,1019,33.9,51.2,9.3,4.7,13.5,11.7,3.4,8.8,1.4,2.3,3.9,0.9,0.26,0.74,124000,163050,228000
