Zip Code,Scratcher Sales Amount,Income Per Household Amount,Population Count,Price Point,Male Population Count,Female Population Count,Asian Population Count,Black Population Count,Hawaiian Population Count,Hispanic Population Count,Indian Population Count,White Population Count,Other Population Count,Total Population,Male Population Ratio,Female Population Ratio,Asian Population Ratio,Black Population Ratio,Hawaiian Population Ratio,Hispanic Population Ratio,Indian Population Ratio,White Population Ratio,Other Population Ratio,Ticket count,Ticket Per Capita,Sales Per Capita
85003,1172995.00,47554,9369,5,5844,3525,178,1120,31,3728,345,6207,1846,13455,0.623759206,0.376240794,0.013229283,0.083240431,0.002303976,0.277071721,0.025641026,0.461315496,0.137198068,234599,17.43582311,87.17911557
85003,1160840.00,47554,9369,20,5844,3525,178,1120,31,3728,345,6207,1846,13455,0.623759206,0.376240794,0.013229283,0.083240431,0.002303976,0.277071721,0.025641026,0.461315496,0.137198068,58042,4.313786696,86.27573393
85003,1016690.00,47554,9369,10,5844,3525,178,1120,31,3728,345,6207,1846,13455,0.623759206,0.376240794,0.013229283,0.083240431,0.002303976,0.277071721,0.025641026,0.461315496,0.137198068,101669,7.556224452,75.56224452
85003,183600.00,47554,9369,30,5844,3525,178,1120,31,3728,345,6207,1846,13455,0.623759206,0.376240794,0.013229283,0.083240431,0.002303976,0.277071721,0.025641026,0.461315496,0.137198068,6120,0.454849498,13.64548495
85004,2210900.00,33862,4965,20,2646,2319,180,497,14,1647,256,3424,806,6824,0.532930514,0.467069486,0.026377491,0.072831184,0.002051583,0.241354045,0.037514654,0.501758499,0.118112544,110545,16.19944314,323.9888628
85004,2178710.00,33862,4965,10,2646,2319,180,497,14,1647,256,3424,806,6824,0.532930514,0.467069486,0.026377491,0.072831184,0.002051583,0.241354045,0.037514654,0.501758499,0.118112544,217871,31.92716882,319.2716882
85004,2175580.00,33862,4965,5,2646,2319,180,497,14,1647,256,3424,806,6824,0.532930514,0.467069486,0.026377491,0.072831184,0.002051583,0.241354045,0.037514654,0.501758499,0.118112544,435116,63.76260258,318.8130129
85004,443070.00,33862,4965,30,2646,2319,180,497,14,1647,256,3424,806,6824,0.532930514,0.467069486,0.026377491,0.072831184,0.002051583,0.241354045,0.037514654,0.501758499,0.118112544,14769,2.164273154,64.92819461
85006,5181830.00,32166,25742,5,13315,12427,370,1548,64,18120,959,14309,9548,44918,0.517248077,0.482751923,0.008237232,0.034462799,0.001424819,0.403401754,0.021350016,0.318558262,0.212565119,1036366,23.07239859,115.361993
85006,3750440.00,32166,25742,10,13315,12427,370,1548,64,18120,959,14309,9548,44918,0.517248077,0.482751923,0.008237232,0.034462799,0.001424819,0.403401754,0.021350016,0.318558262,0.212565119,375044,8.349525803,83.49525803
