Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75001,58.3,95.7,14617,189000,177800,166750
75002,46.6,93.5,69688,295000,376600,513100
75006,28.4,77.3,50788,444850,541600,519400
75007,40.9,89.3,53744,456400,686450,769300
75009,33.3,94,10557,29000,26900,33000
75010,49.3,93.9,27822,164000,182950,194800
75013,67.1,97.9,38975,125000,269200,318850
75019,66.7,96.7,41947,167600,259050,380150
75020,20.5,88.5,21891,159000,230800,326150
75021,13.7,86.2,8704,88000,234600,64000
75022,67.4,97.5,24625,171000,299500,286000
75023,49.4,94.7,49563,221950,265350,321800
75024,70.7,98,42405,106500,167000,256000
75025,68,97.6,53559,176000,219600,270400
75028,57.1,96.8,47056,271100,415300,495000
75032,45.5,90.7,31399,279350,349700,513950
75034,58.7,95.6,95996,597000,1546900,1572900
75035,60.1,95.6,65264,147000,191450,311750
75038,44.2,91.3,29762,136000,216850,286700
75039,71.6,97.8,18010,89250,124750,92900
75040,19,72.6,62277,480550,711700,819700
75041,12.2,65.4,33304,261150,409950,415700
75042,12.8,62.1,39559,472000,598050,646650
75043,25.5,86.9,59951,471000,532450,603950
75044,38.7,87.9,40942,253000,432650,557150
75048,32.4,88.3,24203,139000,135450,162800
75050,20.7,76,42670,392450,674350,597300
75051,9.9,66.5,40962,382150,611600,534450
75052,27.6,85.2,94133,412150,640950,844350
75056,42.5,93.7,57115,363400,430600,545450
75057,22.7,72.9,14562,79000,106000,114050
75058,35.1,89.3,2697,6900,24000,27000
75060,14.3,65.1,47922,603650,872700,910400
75061,15.1,64.8,54907,443200,541700,709700
75062,25.7,78.1,48553,610400,750500,794150
75063,70.7,97.4,38383,235750,314200,391950
75065,30,92.7,12457,54000,93600,137750
75067,34.2,87.1,66896,397950,729250,564050
75068,41.7,92.4,55848,163000,323000,630000
75069,30,81.7,36879,324350,532250,614500
75070,53.4,96.5,93299,390100,842700,655100
75071,44.1,93.3,49846,201000,202150,240000
75074,34.8,82.3,48977,494150,901600,899600
75075,48,93.4,35933,219000,292950,313300
75076,25.5,93.1,7244,42000,97500,69900
75077,47.9,95.3,36181,256550,301000,350800
75078,56.2,96.8,20611,96000,208550,279500
75080,53.5,90,50247,429750,656750,704150
75081,44.3,93.3,37960,313950,447250,541450
75082,66.5,96.1,23733,51000,97500,99000
75087,44.9,93.9,33110,273000,466000,566750
75088,32.3,92,25842,448000,538350,587950
75089,34.3,93.1,33117,95000,152350,164000
75090,12,80.4,23936,197000,354550,456000
75092,27.1,91.9,24312,130000,249700,169850
75093,66.9,97.1,48021,282350,464700,523500
75094,56.3,94,23097,44750,131000,202000
75098,34.3,90.9,54534,438000,521800,618450
75101,7.3,57.3,710,14000,23500,12000
75103,20.2,86.7,13967,203000,299400,412850
75104,31.1,91.6,48568,347150,492150,490100
75109,25.7,89.2,4096,73550,90950,146400
75110,15.1,74.8,28847,352350,805500,886200
75114,12.6,83.3,5930,14000,17000,25000
75115,28.5,88.4,52377,333600,480150,481450
75116,18.4,77.1,19996,268000,479100,525050
75117,18.5,84.8,4007,37000,70000,59800
75119,13.8,76.3,27514,379450,779450,887200
75124,16.6,85.4,4229,65000,110100,75500
75125,11.2,70.1,6236,126750,114750,134000
75126,31.6,92.8,42409,364400,411050,444850
75132,29.9,96.1,1864,15000,36750,32000
75134,16.6,86.7,22106,51850,100500,94800
75135,14.8,91.1,7113,59000,84750,96300
75137,27.2,87,19640,177500,325000,360950
75140,13.6,75,6752,66000,97450,87200
75141,6.8,71.3,5815,111300,166050,219200
75142,12.8,81.2,18702,202000,327950,384800
75143,15.9,79.8,14138,216100,353500,311050
75144,16.4,86.8,3377,152000,134000,101450
75146,20.9,86.7,19071,142400,232500,366400
75147,17.9,87.1,6736,82050,119400,94600
75148,15.5,82.3,5774,71650,73800,127300
75149,14,77,55797,444650,706200,764300
75150,17.8,79.3,62297,665800,825750,820250
75152,12.3,75.5,4694,43000,83400,92000
75154,23.7,83.4,40225,438900,651200,696350
75155,9,66.4,2946,33000,48000,37000
75156,17.1,82.7,15720,44700,67000,96400
75158,19.1,89.5,3793,4000,11000,13700
75159,10,71.7,19440,178400,343900,632950
75160,16.7,81.3,25315,272450,383050,452750
75161,11,82.1,6577,68000,105450,106250
75165,22.3,86.6,42048,637650,922550,1066350
75166,34,93.9,4057,32000,51550,75000
75167,23.6,86.1,10616,19000,23000,29000
75169,11,80.8,12779,84800,124200,131600
75172,6.7,63,4109,47000,106000,96700
75173,21.4,85.4,4166,24000,20750,49000
75180,6,57.5,24112,192850,339300,386800
75181,25.4,87.4,27588,76000,33000,32650
75189,25.5,88,25560,98000,166100,140500
75201,74.8,97.5,15185,39000,101150,96000
75202,71.4,100,2029,35000,28000,23050
75203,14.9,64.3,16351,157450,232000,215600
75204,65,89.8,30370,102000,114000,157300
75205,82.7,99,24211,32000,34500,35000
75206,63.9,90,38762,466750,384900,425350
75207,23,75.5,8028,82000,150000,160050
75208,29.8,68.9,29448,124000,159400,156200
75209,59.4,91.2,13898,356000,472800,660450
75210,4.4,55.9,8243,44000,52100,70450
75211,6.9,51.4,77600,186050,392150,589300
75212,5.5,51.1,26120,107000,132550,181750
75214,64,93.5,34145,105000,117950,143300
75215,11.8,71.6,15664,115000,226750,213900
75216,6.9,64.4,52895,201950,307800,354450
75217,4,55.6,85249,280900,387350,458350
75218,47.9,89.8,22264,146650,229950,247600
75219,59.8,89.1,23277,130800,181000,175700
75220,19.2,51.8,42642,603700,726750,822900
75223,20.1,56.1,14351,217250,273800,307100
75224,13,63.9,36468,50000,79300,80900
75225,83.3,99.1,21568,84000,119000,148600
75226,29.5,74.9,4790,37000,64000,102000
75227,9.9,64.9,57806,118050,168300,182050
75228,17.3,69.9,74605,182600,244400,296800
75229,44.6,77.2,32390,124900,213450,318200
75230,64.1,93.3,27521,131000,171300,121900
75231,30.5,75.1,40464,263750,365150,339850
75232,14.2,76.4,30714,270750,371600,411600
75233,16,67.6,16318,13000,30000,37000
75234,28.3,80.7,32589,352650,594200,799500
75235,28.1,72.4,18794,124000,163050,228000
75236,18.5,74.6,18542,56450,116800,110000
75237,14,77.9,20295,82600,95900,123450
75238,46,83.4,33009,145000,413800,429300
75240,30.1,71.9,27875,164000,261900,275150
75241,11.1,79.2,29398,110000,172800,177900
75243,28.4,82.7,67445,239200,278800,356750
75244,64.3,96.1,13613,269000,250000,184000
75246,25.8,73.4,2276,33700,46100,62350
75248,57.1,93,35464,160250,200400,213000
75249,19.8,82.8,16100,6000,12000,12650
75251,54.9,98.8,2368,42000,45000,64900
75252,61,95.2,26493,163650,229600,255850
75253,6.1,56.3,22721,71000,139150,145550
75254,40.7,83.4,26602,135000,196500,294700
75287,45,94.6,53903,312150,421100,351000
75401,13.5,80.2,18830,82800,132500,141200
75402,30.5,88.9,16931,276000,347450,328000
75407,18.9,85.9,16367,96350,138000,186000
75409,22.9,90.2,14010,99000,136950,112250
75414,26.2,88.6,3184,12000,29000,39000
75418,15,83.8,14318,137000,233250,226300
75422,18.8,86.6,2946,6000,14000,8000
75423,15.6,88.5,2749,9000,13000,18000
75424,14.7,86.2,3765,8000,16000,19000
75426,14.7,85.7,4953,11000,31050,63000
75428,30.9,87,10802,54650,99600,70900
75432,19.5,80.8,3519,14000,110000,100000
75433,20.6,84.5,2752,18000,13000,12000
