Zip,Similiarity1,Similiarity2,Similiarity3,Similiarity4,Similiarity5,Similiarity6,Similiarity7,Similiarity8,Similiarity9,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9, MIN , MAX , Weight Avg , AVG , Median , STD , Upper Bound , Lower Bound ,Summary, Demograph , All , House , Education , Age ,
84531,0.967273361,0.999969303,0.999999735,0.999994367,0.999874028,0.999999996,0.999544516,0.999999685,0.902582886,166374.505,30188.6121,10061.43722,21376.17135,63560.8365,32182.6205,13846.21397,4929.010225,9376.724664,4929.010225,166374.505,38957.39852,39099.57017,21376.17135,48040.08822,183219.8348,0,,"84,753,636.06","87,451,082.56","89,446,265.86","95,267,239.57","87,544,238.30",
84536,0.993759846,0.999977219,0.999999952,0.999998976,0.999968858,0.999999995,0.999877303,0.999999991,0.999999556,303575.1238,30849.69671,34478.1284,192534.5656,34704.07623,13943.33844,30589.92095,28309.80191,21303.45753,13943.33844,303575.1238,76542.14214,76698.67884,30849.69671,95459.99096,363078.6517,0,, Unemployment , All(Reduce) , Demograph (Reduce) , Demo(No Population) , Min , MAX 
85003,0.990260202,0.999979057,0.999999997,0.999999852,0.999999084,1,0.999997778,0.999999983,0.999988716,15267.5122,92902.0667,83891.57924,12429.07232,189509.8961,158966.4559,336922.8925,78502.09936,131330.9314,12429.07232,336922.8925,122307.2271,122191.3895,92902.0667,94157.85342,404664.9498,0,,"88,722,272.98","83,292,826.97","89,569,067.50","93,965,073.54","23,677,435.21","212,688,327.09"
85004,0.948202499,0.999828742,0.999999879,0.999999977,0.999989808,1,0.999987794,0.999999909,0.999996796,990911.8812,71402.91453,68479.26267,44250.37982,113026.5506,425330.9481,54793.93125,10438.2439,95768.69273,10438.2439,990911.8812,203739.4478,208266.9783,71402.91453,299859.3042,1107844.891,0,, Weighted AVG , AVG  , Median ,,,
85006,0.986125711,0.999991755,1,0.999999999,0.999999974,1,0.999999966,0.999999984,0.999990986,63506.45134,397782.5079,417996.1127,753889.1536,259983.3148,248053.9482,166142.7302,48401.72975,193413.934,48401.72975,753889.1536,283580.3479,283241.0981,248053.9482,205421.2722,899504.9147,0,,"88,878,818.65","88,890,189.26","76,577,232.04",,,
85007,0.981006311,0.999986988,0.999999999,0.999999997,0.999999935,1,0.999999791,0.999999949,0.999938373,111789.191,51003.29329,287704.4486,286899.6917,282557.1737,190277.019,163872.8793,345216.8487,98052.60412,51003.29329,345216.8487,202121.9196,201930.3499,190277.019,97118.40008,493285.5502,0,,,,,,,
85008,0.991065714,0.999914167,1,1,0.999999988,1,0.99999991,0.999999994,0.999972032,309087.8123,99266.4237,311789.5284,693678.0834,528023.8075,467675.8918,413305.2702,156314.1488,180847.2394,99266.4237,693678.0834,351154.4909,351109.8006,311789.5284,182506.9946,898630.7845,0,,,,,,,
85009,0.993833461,0.999995178,0.999999995,0.999999999,0.999999989,1,0.999999943,1,0.999999555,139197.0211,643820.9595,715977.3115,139197.0211,614110.5261,225066.7115,83628.58948,183232.1702,328401.2634,83628.58948,715977.3115,341541.9889,341403.5082,225066.7115,234064.3983,1043596.703,0,,,,,,,
85012,0.994114888,0.999991073,0.999999986,0.999999586,0.99999869,1,0.999996184,0.999999928,0.999990335,39491.01506,92796.21226,478454.6859,72320.18974,105099.2985,87057.19652,34192.44823,263638.936,131633.0414,34192.44823,478454.6859,145033.9159,144964.7804,92796.21226,134086.7767,547225.1106,0,,,,,,,
85013,0.988062224,0.999995412,1,1,0.999999925,1,0.999999854,0.999999997,0.999994122,158701.4005,227982.6621,340613.088,281887.7919,82783.15615,128763.2036,203814.9629,290790.2494,238635.5621,82783.15615,340613.088,217185.5649,217108.0085,227982.6621,78100.14845,451408.4539,0,,,,,,,
85014,0.98604113,0.999977488,0.999999998,1,0.999999959,1,0.999999843,0.999999996,0.999953511,295167.0188,492822.6741,252580.8408,472095.2609,441018.4894,233360.7504,667986.6324,143088.8084,167033.731,143088.8084,667986.6324,351772.1901,351683.8007,295167.0188,165687.3481,848745.8449,0,,,,,,,
85015,0.991120646,0.999920723,1,1,0.99999999,1,0.999999976,0.999999998,0.999993489,238304.7822,634819.4248,354654.21,1184781.523,239587.5298,708308.9838,354654.21,119664.4882,402885.7801,119664.4882,1184781.523,471079.4766,470851.2146,354654.21,308307.9072,1395774.936,0,,,,,,,
85016,0.983207331,0.999960309,1,0.999999999,0.99999998,1,0.999999969,0.999999998,0.999954239,187351.9492,683175.1522,413548.1972,530986.3325,122012.3576,722878.1548,449777.8655,638018.7164,278360.2021,122012.3576,722878.1548,447831.2768,447345.4364,449777.8655,204946.7242,1062185.609,0,,,,,,,
85017,0.989620586,0.999964672,1,0.999999999,0.999999987,1,0.999999947,0.999999994,0.999980496,535063.5448,527223.098,661242.4761,521860.7595,222106.9098,314447.8281,722289.0498,230878.0195,290731.8616,222106.9098,722289.0498,447214.6602,447315.9497,521860.7595,176620.5882,977177.7143,0,,,,,,,
85018,0.980045652,0.9999639,1,0.999999997,0.999999986,1,0.999999985,0.999999998,0.999976948,407569.5485,155182.5239,762091.9655,77270.57011,445930.4004,563797.9275,762091.9655,762091.9655,1050262.579,77270.57011,1050262.579,554357.9434,554032.1606,563797.9275,297345.0259,1446067.238,0,,,,,,,
85019,0.987025328,0.9999856,1,1,0.999999963,1,0.999999836,0.999999991,0.99990417,157240.6272,120601.8227,211920.5828,294773.6867,414974.3304,19374.40994,377817.9763,323460.8293,157240.6272,19374.40994,414974.3304,230929.9562,230822.7658,211920.5828,123033.8436,599924.2966,0,,,,,,,
85020,0.986907631,0.999979314,1,1,0.999999985,1,0.999999945,0.999999995,0.999997251,176610.8123,461936.7202,595275.6159,479598.5405,615392.801,434428.1822,402838.8878,114666.1481,343022.8894,114666.1481,615392.801,402970.347,402641.1775,434428.1822,159997.852,882634.7335,0,,,,,,,
85021,0.991030857,0.999990314,1,0.999999999,0.999999992,1,0.999999986,0.999999999,0.999871303,249888.8324,370295.8425,251233.9346,586169.6554,742110.2512,44142.87256,251233.9346,894098.8692,874659.0179,44142.87256,894098.8692,473976.9474,473759.2456,370295.8425,291829.913,1349248.984,0,,,,,,,
85022,0.990009699,0.999995591,0.999999998,1,0.999999984,1,0.999999952,0.999999994,0.999964272,303919.5042,448314.5669,312703.9568,610495.858,268985.2249,965610.8172,452304.5264,636066.9423,620586.4636,268985.2249,965610.8172,513453.07,513220.8734,452304.5264,208786.5442,1139580.506,0,,,,,,,
85023,0.98733897,0.999974613,0.999999998,0.999999999,0.999999978,1,0.999999952,0.999999999,0.99994293,178286.9601,247665.2688,234940.1594,294436.9455,983411.7682,304929.4322,484150.2326,554592.5293,415173.6041,178286.9601,983411.7682,411171.0399,410842.9889,304929.4322,233407.315,1111064.934,0,,,,,,,
85024,0.986037106,0.999983409,1,0.999999999,0.99999995,1,0.999999799,0.999999981,0.999999028,185671.2033,395201.7306,254056.3286,655296.4388,593834.0941,602331.8191,29423.44498,423701.1569,580754.1822,29423.44498,655296.4388,413717.1993,413363.3776,423701.1569,205453.1815,1029722.922,0,,,,,,,
85027,0.989672353,0.999984221,0.999999999,0.999999998,0.999999979,1,0.999999966,0.999999999,0.999984815,188455.2363,449799.4186,596420.8098,510744.6324,1296121.236,431406.7469,445390.6571,332324.5274,360042.0658,188455.2363,1296121.236,512673.0036,512300.5922,445390.6571,297551.1983,1404954.187,0,,,,,,,
85028,0.982038362,0.99997889,0.999999971,0.999999972,0.999999853,1,0.999999174,0.999999989,0.999995826,329307.6135,164962.5331,486333.4551,197945.9342,237144.6881,72177.1602,486333.4551,61269.79449,395623.0772,61269.79449,486333.4551,270003.7816,270121.9679,237144.6881,153805.4501,731538.3181,0,,,,,,,
85029,0.99498369,0.99996239,1,1,0.999999985,1,0.999999993,0.999999998,0.999999836,270667.5334,500242.5362,389489.9633,1345679.635,566474.5697,676451.5597,743498.6792,732920.3065,497561.0928,270667.5334,1345679.635,636091.5654,635887.3196,566474.5697,291146.2263,1509325.999,0,,,,,,,
85031,0.994500188,0.999978812,1,0.999999999,0.999999973,1,0.999999954,0.99999999,0.999992288,191593.5364,134882.8675,208607.5666,190171.6127,248090.388,1552791.256,190171.6127,133207.622,384585.7157,133207.622,1552791.256,359447.7691,359344.6864,191593.5364,427778.7081,1642680.811,0,,,,,,,
85032,0.989586912,0.999977988,1,1,0.999999992,1,0.999999957,0.999999999,0.999948986,208469.4478,897032.7436,364606.5012,1220333.949,1580008.53,208469.4478,487543.6122,812700.2214,812700.2214,208469.4478,1580008.53,733035.484,732429.4082,812700.2214,439792.0086,2051805.434,0,,,,,,,
85033,0.993467077,0.999945222,0.999999999,0.999999996,0.99999999,1,0.99999997,0.999999995,0.999984351,213976.5324,213976.5324,764871.016,86500.20872,135834.7317,282016.9777,569765.7516,348271.0566,299471.2175,86500.20872,764871.016,323934.3079,323853.7805,282016.9777,203781.9724,935199.6977,0,,,,,,,
85034,0.980401945,0.999964511,0.999999988,0.999999784,0.999995374,1,0.999997299,0.999999114,0.999802483,7867.317073,127928.4609,112256.0585,43229.15516,100926.3437,97132.74336,42525.79447,20539.98981,88736.6167,7867.317073,127928.4609,71375.7419,71238.0533,88736.6167,40755.9735,193505.9738,0,,,,,,,
85035,0.994746635,0.999835972,1,1,0.999999992,1,0.999999981,0.999999986,0.999803451,292334.9474,237317.9331,1178459.711,486972.6193,90884.94486,1505139.048,566394.0299,516834.5779,29105.19645,29105.19645,1505139.048,544991.3524,544827.0009,486972.6193,466503.771,1944338.314,0,,,,,,,
85037,0.991795821,0.99999277,1,0.999999999,0.999999988,1,0.999999997,0.999999996,0.999883164,889732.7459,950697.0389,1252448.994,660737.5128,699206.659,703005.0866,1252448.994,547477.9404,170135.8656,170135.8656,1252448.994,791684.211,791765.6485,703005.0866,323011.7087,1760800.774,0,,,,,,,
85040,0.992686305,0.999994254,1,1,0.999999985,1,0.999999969,0.999999993,0.99994396,196753.4293,400373.3395,245219.2174,400373.3395,254771.8234,1042925.318,528733.1101,394943.169,508741.9738,196753.4293,1042925.318,441624.6789,441426.08,400373.3395,238674.1728,1157448.598,0,,,,,,,
85041,0.994526334,0.999995712,1,0.999999999,0.999999997,1,0.999999965,0.999999998,0.999938766,183864.6784,623043.2987,791159.7534,863276.1251,413725.8759,721699.4781,434690.4271,528751.5397,3192062.21,183864.6784,3192062.21,861760.2563,861363.7096,623043.2987,847575.3642,3404089.802,0,,,,,,,
85042,0.992140823,0.99998933,1,1,0.999999995,1,0.999999995,0.999999997,0.999846386,270250.1447,769205.9494,230140.7531,271704.8478,402196.5094,549931.7259,625380.239,468520.7253,145598.8877,145598.8877,769205.9494,414900.4668,414769.9758,402196.5094,194134.0067,997171.9961,0,,,,,,,
85043,0.995011834,0.999988267,1,1,0.999999966,1,0.999999974,0.999999998,0.999995375,230622.4095,533678.5212,705574.9731,86530.97103,122948.6596,1151132.009,304746.1459,436953.6875,183030.2456,86530.97103,1151132.009,417349.8646,417246.4025,304746.1459,322144.2313,1383679.096,0,,,,,,,
85044,0.988220206,0.999988503,1,0.999999998,0.999999986,1,0.999999971,0.999999997,0.99999842,216907.3146,401230.436,512633.6272,371455.3868,686465.5965,371455.3868,686465.5965,418782.1265,436609.6033,216907.3146,686465.5965,456091.474,455778.3416,418782.1265,143626.6248,886658.2158,24898.4673,,,,,,,
85045,0.974412494,0.999947661,0.999999913,0.999999077,0.999998583,1,0.999971181,0.999999675,0.999964789,1244808.045,297268.5785,34471.2358,64299.16667,79724.25373,24972.97031,13112.78049,133583.945,80687.7969,13112.78049,1244808.045,216290.9281,219214.308,79724.25373,371521.0254,1333777.384,0,,,,,,,
85048,0.980258866,0.999988744,1,1,0.999999971,1,0.999999961,0.999999998,0.999997508,205975.6229,96185.48353,61160.40956,444716.9833,508786.5621,374211.7343,46626.87125,288845.5267,1081838.271,46626.87125,1081838.271,345678.482,345371.9405,288845.5267,304509.3386,1258899.956,0,,,,,,,
85050,0.981941465,0.999981711,0.999999992,0.999999997,0.999999963,1,0.999999731,0.999999992,0.999926193,230266.1082,504809.0631,429571.7723,364685.413,562999.249,240413.814,167687.5196,116496.6375,381077.4507,116496.6375,562999.249,333317.9297,333111.8919,364685.413,144678.8729,767148.5107,0,,,,,,,
85051,0.988218488,0.999970793,1,0.999999999,0.999999996,1,0.999999984,0.999999994,0.999949178,261527.3246,484595.3707,738806.6618,368108.3278,732381.4112,491727.2114,389214.8779,651376.0354,256652.3282,256652.3282,738806.6618,486338.877,486043.2832,484595.3707,175832.351,1013540.336,0,,,,,,,
85053,0.984353505,0.999958512,1,0.999999998,0.999999957,1,0.999999966,0.999999992,0.999998678,156921.3801,348562.803,215553.0677,287234.9337,409393.8101,187279.5195,266301.4885,720967.4036,272561.336,156921.3801,720967.4036,318589.3435,318308.4158,272561.336,160167.351,798810.4689,0,,,,,,,
85054,0.998506133,0.999970861,0.999999931,0.999999907,0.999996329,1,0.999990272,0.999999825,0.99989142,40930.54881,111805.8244,97767.98144,74956.41862,108930.3975,91632.30189,73204.4283,45416.87697,10007.5792,10007.5792,111805.8244,72745.04701,72739.15079,74956.41862,32520.21847,170299.8062,0,,,,,,,
85083,0.991135383,0.999933404,0.999999989,0.999999995,0.999999857,1,0.999999307,0.999999969,0.999875595,325940.9764,155138.9543,33066.84557,268376.4166,126088.6153,313149.3542,76239.25101,76239.25101,66498.311,33066.84557,325940.9764,159919.8076,160081.9973,126088.6153,106872.951,480700.8504,0,,,,,,,
85085,0.989700368,0.999998325,0.99999999,0.999999955,0.999999895,1,0.999999099,0.999999991,0.999988705,162120.7458,135965.0325,371978.6558,184905.1961,166051.1597,475147.8775,135965.0325,152084.3918,73761.85114,73761.85114,475147.8775,206493.183,206442.2159,162120.7458,122091.786,572717.5738,0,,,,,,,
85086,0.97894687,0.999942687,1,1,0.999999971,1,0.999999889,0.999999996,0.999945464,449965.4826,754780.7838,632263.253,573690.0142,534839.5225,254633.5079,456674.705,640266.9495,773310.1706,254633.5079,773310.1706,563643.9222,563380.4877,573690.0142,153425.9019,1023658.194,103102.7818,,,,,,,
85087,0.979644587,0.999938008,0.999999995,0.999999998,0.999999124,1,0.999990806,0.999999844,0.999945174,14006.63415,174513.3325,107882.5837,310328.24,244991.2099,59768.47545,40247.78145,19294.28461,32334.70464,14006.63415,310328.24,111706.3307,111485.2496,59768.47545,101851.3948,417039.4339,0,,,,,,,
85118,0.969818461,0.999948142,0.999999997,0.999999977,0.999994246,1,0.999993768,0.999999975,0.999995854,21844.09756,76253.16291,120002.4118,254535.7176,106002.0227,199436.3007,382076.9383,142573.4326,83737.02497,21844.09756,382076.9383,154496.4412,154051.2343,120002.4118,103402.0208,464257.2969,0,,,,,,,
85119,0.96455672,0.999981619,0.999999997,0.999999996,0.999999465,1,0.999998574,0.99999999,0.999970335,129476.324,763406.0167,325321.5973,230104.1524,366064.6355,68354.20256,548092.6843,285879.5386,81894.93433,68354.20256,763406.0167,311672.2059,310954.8984,285879.5386,214893.6387,955635.8146,0,,,,,,,
85120,0.980715542,0.99999787,1,0.999999998,0.999999894,1,0.999999074,0.999999998,0.999998526,70276.86193,636652.3883,462925.9852,867468.8686,619249.3098,220829.4688,862094.3176,527399.817,83490.88003,70276.86193,867468.8686,484263.4784,483376.433,527399.817,285726.3825,1340555.581,0,,,,,,,
85121,0.986189177,0.999967006,0.999999946,0.99999996,0.999964791,0.999999994,0.999932184,0.999999668,0.999034577,355254.5792,54358.22551,29927.64252,49213.51305,84212.05937,499808.1023,42209.31478,25921.3108,15372.52318,15372.52318,499808.1023,128139.9275,128475.2523,49213.51305,164490.7689,621947.559,0,,,,,,,
85122,0.988664283,0.999995937,1,0.999999999,0.999999984,1,0.999999937,0.999999995,0.999997187,723137.3018,712540.9538,163909.5146,1245454.661,327602.314,754528.6765,163909.5146,518387.8198,516094.5587,163909.5146,1245454.661,569313.4675,569507.2572,518387.8198,321144.1039,1532939.569,0,,,,,,,
85123,0.981771582,0.999971007,0.999999999,0.999999997,0.999999636,1,0.999999271,0.999999975,0.999996899,186949.3613,130977.8447,206696.1879,150396.4211,155627.9904,432109.5076,127294.8422,633186.5996,177435.4421,127294.8422,633186.5996,244636.5952,244519.3552,177435.4421,162921.7611,733284.6386,0,,,,,,,
85128,0.984166805,0.999988248,0.999999996,0.999999998,0.99999988,1,0.999999937,0.999999976,0.999993248,124289.0493,155783.0386,192005.5064,252485.122,252485.122,6735.93782,79049.86292,440178.3792,538736.5772,6735.93782,538736.5772,227041.5811,226860.9551,192005.5064,160268.8829,707667.6039,0,,,,,,,
85131,0.968092173,0.999976833,1,1,0.999999718,1,0.999999778,0.999999986,0.999972262,199671.1734,467628.6669,478508.7802,285366.5685,160863.7384,569536.9877,322452.0843,232101.6331,597836.8344,160863.7384,597836.8344,368817.2199,368218.4963,322452.0843,154269.2622,831026.283,0,,,,,,,
85132,0.974615475,0.99946632,1,1,0.99999995,1,0.999999973,0.999999996,0.999999163,215814.1824,426632.4866,327057.8985,249374.0351,220293.2226,309192.5867,181048.482,463886.2451,394766.5573,181048.482,463886.2451,310043.9321,309785.0774,309192.5867,95442.22596,596111.7553,23458.39948,,,,,,,
85135,0.977073684,0.999974502,0.999990967,0.999926636,0.999104564,0.999999466,0.998155167,0.999914188,0.999999292,77352.47525,11011.16751,26299.59514,108827.2921,26773.10195,35692.30769,26299.59514,7124.760077,13611.69435,7124.760077,108827.2921,36899.02366,36999.10991,26299.59514,32037.72289,133112.2786,0,,,,,,,
85137,0.984204931,0.99996644,0.999999855,0.999999864,0.999987647,1,0.999978481,0.999998807,0.999981306,416269.6782,73250.86379,46834.15597,40292.24563,63906.89911,11527.34375,5673.158066,108611.1581,41510.57902,5673.158066,416269.6782,89190.3741,89764.00908,46834.15597,119123.4231,447134.2783,0,,,,,,,
