Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population
84531,218,0.918367347,0.081632653,998
84536,223,0.853904282,0.146095718,1821
85003,972,0.3671875,0.6328125,8694
85004,932,0.251884173,0.748115827,5944
85006,790,0.381228781,0.618771219,27671
85007,841,0.35446056,0.64553944,14810
85008,829,0.250624018,0.749375982,60700
85009,728,0.451395813,0.548604187,47810
85012,1093,0.528230501,0.471769499,6776
85013,1024,0.450092232,0.549907768,21025
85014,935,0.365869067,0.634130933,27410
85015,772,0.355825735,0.644174265,39395
85016,995,0.455483472,0.544516528,35321
85017,729,0.381095467,0.618904533,41656
85018,1051,0.540714669,0.459285331,37848
85019,876,0.482341491,0.517658509,25994
85020,910,0.534322203,0.465677797,33296
85021,855,0.387172493,0.612827507,41310
85022,988,0.549531649,0.450468351,50242
85023,1020,0.563367847,0.436632153,33612
85024,1326,0.685842921,0.314157079,24598
85027,1045,0.564163373,0.435836627,35529
85028,1350,0.793595631,0.206404369,19563
85029,922,0.500569647,0.499430353,44745
85031,905,0.493737895,0.506262105,31673
85032,971,0.559978249,0.440021751,71603
85033,923,0.471366483,0.528633517,65318
85034,639,0.241785493,0.758214507,4480
85035,938,0.351856946,0.648143054,57410
85037,1046,0.548259828,0.451740172,52205
85040,808,0.406021326,0.593978674,32526
85041,1005,0.607950163,0.392049837,63152
85042,986,0.593810723,0.406189277,44676
85043,1104,0.553240021,0.446759979,38125
85044,1213,0.584148497,0.415851503,40893
85045,1960,0.857142857,0.142857143,7467
85048,1510,0.687643195,0.312356805,34720
85050,1558,0.712800634,0.287199366,30506
85051,842,0.529290853,0.470709147,43234
85053,988,0.561842809,0.438157191,29584
85054,1417,0.424358274,0.575641726,7023
85083,1819,0.88410804,0.11589196,19363
85085,1523,0.612604835,0.387395165,21478
85086,1544,0.787513843,0.212486157,41785
85087,1332,0.874500666,0.125499334,7976
85118,961,0.895980312,0.104019688,12439
85119,743,0.764735315,0.235264685,21825
85120,685,0.7328978,0.2671022,30621
85121,236,0.278829604,0.721170396,2131
85122,851,0.627659574,0.372340426,56298
85123,824,0.626371062,0.373628938,11106
85128,692,0.583642357,0.416357643,16466
85131,657,0.633888048,0.366111952,18542
85132,834,0.741049016,0.258950984,35677
85135,337,0.61025641,0.38974359,464
85137,759,0.725382932,0.274617068,2497
85138,1241,0.753733345,0.246266655,36059
85139,1075,0.713359046,0.286640954,18327
85140,1164,0.770956495,0.229043505,45504
85141,567,0.728476821,0.271523179,427
85142,1482,0.827723312,0.172276688,60306
85143,1159,0.69576402,0.30423598,36764
85145,1088,0.797018349,0.202981651,3016
85147,261,0.354066986,0.645933014,3811
85172,843,0.50310559,0.49689441,1636
85173,638,0.663339383,0.336660617,2947
85192,470,0.892682927,0.107317073,1675
85193,609,0.686590038,0.313409962,4408
85194,854,0.82162726,0.17837274,7188
85201,855,0.337689627,0.662310373,51817
85202,926,0.440634596,0.559365404,38780
85203,967,0.551433663,0.448566337,37773
85204,948,0.547882646,0.452117354,66891
85205,891,0.694065781,0.305934219,41686
85206,959,0.640580853,0.359419147,36379
85207,1161,0.782054927,0.217945073,48405
85208,845,0.750988412,0.249011588,37158
85209,1043,0.742129311,0.257870689,41052
85210,885,0.401445373,0.598554627,39712
85212,1548,0.794576646,0.205423354,31494
85213,1078,0.728298823,0.271701177,35148
85215,1012,0.823553891,0.176446109,16270
85224,1212,0.541453246,0.458546754,44000
85225,1074,0.551957952,0.448042048,70587
85226,1269,0.595882604,0.404117396,37781
85233,1331,0.673487054,0.326512946,35556
85234,1359,0.702368239,0.297631761,50706
85248,1055,0.788748113,0.211251887,32646
85249,1768,0.859749661,0.140250339,38586
85250,1195,0.709283388,0.290716612,17711
85251,1107,0.488146331,0.511853669,40621
85253,2138,0.839539607,0.160460393,18509
85254,1602,0.709776708,0.290223292,45973
85255,2027,0.779925112,0.220074888,40401
85256,429,0.754385965,0.245614035,5380
85257,1036,0.569103895,0.430896105,31609
85258,1336,0.71480849,0.28519151,24549
85259,1559,0.767987322,0.232012678,23043
85260,1460,0.593420522,0.406579478,38337
85262,2238,0.899095767,0.100904233,10815
85263,1127,0.947245927,0.052754073,2531
85264,550,0.808290155,0.191709845,1315
85266,1959,0.941142857,0.058857143,12519
85268,1189,0.789804588,0.210195412,24288
85281,983,0.207346797,0.792653203,62626
85282,1010,0.429868256,0.570131744,52799
85283,1072,0.455501745,0.544498255,50536
85284,1664,0.828470899,0.171529101,18592
85286,1555,0.664341957,0.335658043,41807
85295,1497,0.633587227,0.366412773,43525
85296,1452,0.771329292,0.228670708,42506
85297,1618,0.728341134,0.271658866,32890
85298,1794,0.887982599,0.112017401,29113
85301,745,0.347514782,0.652485218,67526
85302,929,0.53590658,0.46409342,39647
85303,1046,0.594864479,0.405135521,31835
85304,1085,0.705483084,0.294516916,27365
85305,1204,0.535341831,0.464658169,12073
85306,1097,0.585757156,0.414242844,24503
85307,1051,0.419705694,0.580294306,9376
85308,1237,0.68321805,0.31678195,66295
85310,1421,0.842835596,0.157164404,19252
85321,397,0.656387665,0.343612335,4776
85322,664,0.667857143,0.332142857,764
85323,1050,0.505463144,0.494536856,42225
85324,594,0.817898833,0.182101167,2892
85325,360,0.965073529,0.034926471,1087
85326,1094,0.652917635,0.347082365,58276
85331,1701,0.8639353,0.1360647,29264
85332,535,0.882175227,0.117824773,1548
85333,417,0.70464135,0.29535865,594
85334,473,0.651869159,0.348130841,844
85335,1049,0.601323086,0.398676914,34400
85336,592,0.613636364,0.386363636,502
85337,566,0.468674699,0.531325301,2611
85338,1314,0.709309473,0.290690527,47588
85339,1332,0.692295109,0.307704891,45040
85340,1407,0.74856643,0.25143357,32436
85342,632,0.824367089,0.175632911,1284
85344,507,0.665246338,0.334753662,10537
85345,988,0.629062421,0.370937579,56473
85347,446,0.490842491,0.509157509,938
85349,745,0.707694196,0.292305804,29972
85350,795,0.70961315,0.29038685,22691
85351,521,0.845232664,0.154767336,28855
85353,1147,0.618632445,0.381367555,39400
85354,813,0.741906475,0.258093525,7008
85355,1598,0.845623501,0.154376499,11369
85356,522,0.819374369,0.180625631,4997
85361,1005,0.857425743,0.142574257,5777
85362,561,0.811827957,0.188172043,669
85363,933,0.483492615,0.516507385,6625
85364,824,0.552210975,0.447789025,74299
85365,899,0.727262825,0.272737175,48973
85367,557,0.827253752,0.172746248,21018
85373,759,0.849523377,0.150476623,18714
85374,946,0.717939057,0.282060943,46395
85375,543,0.88574531,0.11425469,28133
85379,1343,0.704369809,0.295630191,46320
85381,1208,0.663705728,0.336294272,24968
85382,1237,0.684387064,0.315612936,40626
85383,1754,0.888586216,0.111413784,46118
85387,854,0.867787464,0.132212536,10829
85388,1347,0.756187093,0.243812907,28442
85390,686,0.768161112,0.231838888,8924
85392,1180,0.572697447,0.427302553,37710
85395,1352,0.78495285,0.21504715,28364
85396,1360,0.826160912,0.173839088,17759
85501,669,0.689265537,0.310734463,12657
85530,229,0.721822542,0.278177458,1942
85533,362,0.640439158,0.359560842,3141
85534,462,0.815663801,0.184336199,2761
85536,806,0.912568306,0.087431694,577
85539,506,0.725078699,0.274921301,5109
85540,409,0,1,3415
85541,773,0.74056067,0.25943933,21546
85542,299,0.531881804,0.468118196,3440
85543,836,0.787928222,0.212071778,3644
85544,786,0.913924051,0.086075949,2305
85546,783,0.678334439,0.321665561,20594
85550,279,0.538582677,0.461417323,5227
85551,432,0.958677686,0.041322314,424
85552,805,0.626924769,0.373075231,6556
85553,437,0.848587571,0.151412429,1683
85554,508,0.813432836,0.186567164,493
85602,600,0.712146824,0.287853176,9016
85603,637,0.70276775,0.29723225,6775
85605,259,0.628691983,0.371308017,468
85606,525,0.894265233,0.105734767,1183
85607,539,0.679148936,0.320851064,14428
85608,-,,,6190
85610,399,0.825174825,0.174825175,874
85613,1239,0.007972665,0.992027335,5509
85614,644,0.793779792,0.206220208,23229
85615,938,0.861810925,0.138189075,9929
85616,741,0.679221329,0.320778671,5374
85617,442,0.760904685,0.239095315,1293
85618,393,0.742320819,0.257679181,1781
85620,520,0.681222707,0.318777293,670
85621,614,0.528875806,0.471124194,22290
85622,511,0.902245345,0.097754655,6330
85623,542,0.812776413,0.187223587,4980
85624,477,0.724876442,0.275123558,1390
85625,573,0.888777555,0.111222445,2053
85626,382,0.776699029,0.223300971,1172
85627,954,0.776595745,0.223404255,1187
85629,1261,0.823145401,0.176854599,25500
85630,604,0.906653426,0.093346574,2418
85631,606,0.724340176,0.275659824,3719
85632,413,0.808864266,0.191135734,759
85634,325,0.633902295,0.366097705,6409
85635,888,0.539113977,0.460886023,33574
85637,1026,0.905008636,0.094991364,1313
85638,524,0.754491018,0.245508982,1991
85641,1330,0.884512606,0.115487394,25657
85643,644,0.673836276,0.326163724,8239
85645,642,0.842681259,0.157318741,2235
85648,899,0.788790953,0.211209047,18992
85650,986,0.881705426,0.118294574,15136
85653,887,0.808986753,0.191013247,16405
85658,1399,0.842958229,0.157041771,10683
85701,833,0.276122083,0.723877917,5286
85704,933,0.571399401,0.428600599,31795
85705,656,0.441187764,0.558812236,55463
85706,720,0.581956204,0.418043796,55691
85708,1205,0.017295597,0.982704403,4187
85710,837,0.517182876,0.482817124,56168
85711,781,0.460991226,0.539008774,39451
85712,768,0.370873786,0.629126214,33239
85713,698,0.60738975,0.39261025,46071
85714,633,0.525843982,0.474156018,14683
85715,1028,0.686066105,0.313933895,17066
85716,786,0.404445314,0.595554686,31134
85718,1131,0.697137804,0.302862196,26262
85719,834,0.264885669,0.735114331,47503
85730,909,0.670930008,0.329069992,39055
85735,755,0.83754771,0.16245229,11108
85736,683,0.835249042,0.164750958,4998
85737,1284,0.730575618,0.269424382,21293
85739,729,0.913083362,0.086916638,18474
85741,1048,0.567682444,0.432317556,35149
85742,1197,0.760526841,0.239473159,26868
85743,1200,0.815404318,0.184595682,29552
85745,967,0.590917632,0.409082368,38005
85746,903,0.680275862,0.319724138,43873
85747,1332,0.761638955,0.238361045,25077
85748,1169,0.726782585,0.273217415,17727
85749,1354,0.824748905,0.175251095,19121
85750,1125,0.704527261,0.295472739,24207
85755,1269,0.883049379,0.116950621,16143
85756,884,0.734325874,0.265674126,40965
85757,1049,0.775064048,0.224935952,19264
85901,794,0.670250368,0.329749632,18279
85911,305,0.5907173,0.4092827,2293
85920,732,0.817142857,0.182857143,309
85924,396,0.955109838,0.044890162,2668
85925,735,0.76144423,0.23855577,4936
85929,768,0.680463576,0.319536424,7085
