Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75001,1248,0.180403041,0.819596959,14617,189000,177800,166750
75002,1567,0.787598166,0.212401834,69688,295000,376600,513100
75006,1105,0.521878515,0.478121485,50788,444850,541600,519400
75007,1340,0.735726621,0.264273379,53744,456400,686450,769300
75009,1626,0.801245753,0.198754247,10557,29000,26900,33000
75010,1363,0.441126049,0.558873951,27822,164000,182950,194800
75013,2060,0.755932992,0.244067008,38975,125000,269200,318850
75019,1741,0.704743907,0.295256093,41947,167600,259050,380150
75020,758,0.641697878,0.358302122,21891,159000,230800,326150
75021,694,0.771437384,0.228562616,8704,88000,234600,64000
75022,2278,0.95030974,0.04969026,24625,171000,299500,286000
75023,1347,0.634714176,0.365285824,49563,221950,265350,321800
75024,1460,0.434885824,0.565114176,42405,106500,167000,256000
75025,1547,0.70716052,0.29283948,53559,176000,219600,270400
75028,1805,0.833145434,0.166854566,47056,271100,415300,495000
75032,1581,0.826497244,0.173502756,31399,279350,349700,513950
75034,1791,0.708675193,0.291324807,95996,597000,1546900,1572900
75035,1866,0.797226298,0.202773702,65264,147000,191450,311750
75038,994,0.154411171,0.845588829,29762,136000,216850,286700
75039,1429,0.186122726,0.813877274,18010,89250,124750,92900
75040,1079,0.718957782,0.281042218,62277,480550,711700,819700
75041,940,0.584363412,0.415636588,33304,261150,409950,415700
75042,885,0.502710144,0.497289856,39559,472000,598050,646650
75043,1085,0.573777565,0.426222435,59951,471000,532450,603950
75044,1187,0.670798444,0.329201556,40942,253000,432650,557150
75048,1541,0.871709652,0.128290348,24203,139000,135450,162800
75050,944,0.431147541,0.568852459,42670,392450,674350,597300
75051,862,0.47297191,0.52702809,40962,382150,611600,534450
75052,1288,0.751000203,0.248999797,94133,412150,640950,844350
75056,1420,0.644318237,0.355681763,57115,363400,430600,545450
75057,1085,0.348560079,0.651439921,14562,79000,106000,114050
75058,1281,0.783564815,0.216435185,2697,6900,24000,27000
75060,909,0.624064358,0.375935642,47922,603650,872700,910400
75061,896,0.382848304,0.617151696,54907,443200,541700,709700
75062,949,0.42577548,0.57422452,48553,610400,750500,794150
75063,1303,0.403480912,0.596519088,38383,235750,314200,391950
75065,1265,0.767335369,0.232664631,12457,54000,93600,137750
75067,1142,0.38361498,0.61638502,66896,397950,729250,564050
75068,1576,0.778211658,0.221788342,55848,163000,323000,630000
75069,1021,0.518163877,0.481836123,36879,324350,532250,614500
75070,1702,0.734168278,0.265831722,93299,390100,842700,655100
75071,1634,0.711702128,0.288297872,49846,201000,202150,240000
75074,1201,0.583870968,0.416129032,48977,494150,901600,899600
75075,1212,0.653149634,0.346850366,35933,219000,292950,313300
75076,810,0.750903713,0.249096287,7244,42000,97500,69900
75077,1640,0.80171217,0.19828783,36181,256550,301000,350800
75078,2389,0.879397807,0.120602193,20611,96000,208550,279500
75080,1251,0.546973535,0.453026465,50247,429750,656750,704150
75081,1233,0.565667725,0.434332275,37960,313950,447250,541450
75082,1526,0.733028138,0.266971862,23733,51000,97500,99000
75087,1525,0.779013751,0.220986249,33110,273000,466000,566750
75088,1412,0.857045917,0.142954083,25842,448000,538350,587950
75089,1550,0.892084978,0.107915022,33117,95000,152350,164000
75090,801,0.615375062,0.384624938,23936,197000,354550,456000
75092,859,0.548025452,0.451974548,24312,130000,249700,169850
75093,1597,0.635087178,0.364912822,48021,282350,464700,523500
75094,2131,0.84452066,0.15547934,23097,44750,131000,202000
75098,1455,0.800071149,0.199928851,54534,438000,521800,618450
75101,661,0.71627907,0.28372093,710,14000,23500,12000
75103,709,0.792368778,0.207631222,13967,203000,299400,412850
75104,1333,0.699378804,0.300621196,48568,347150,492150,490100
75109,995,0.845809341,0.154190659,4096,73550,90950,146400
75110,736,0.618878357,0.381121643,28847,352350,805500,886200
75114,1159,0.801044386,0.198955614,5930,14000,17000,25000
75115,1225,0.628970642,0.371029358,52377,333600,480150,481450
75116,937,0.583064392,0.416935608,19996,268000,479100,525050
75117,767,0.742893241,0.257106759,4007,37000,70000,59800
75119,843,0.638251366,0.361748634,27514,379450,779450,887200
75124,598,0.740878169,0.259121831,4229,65000,110100,75500
75125,829,0.771003361,0.228996639,6236,126750,114750,134000
75126,1520,0.883850882,0.116149118,42409,364400,411050,444850
75132,1523,0.935087719,0.064912281,1864,15000,36750,32000
75134,1058,0.580654379,0.419345621,22106,51850,100500,94800
75135,1066,0.827331487,0.172668513,7113,59000,84750,96300
75137,1164,0.707149136,0.292850864,19640,177500,325000,360950
75140,610,0.702338129,0.297661871,6752,66000,97450,87200
75141,822,0.669160432,0.330839568,5815,111300,166050,219200
75142,883,0.738043296,0.261956704,18702,202000,327950,384800
75143,710,0.76145282,0.23854718,14138,216100,353500,311050
75144,557,0.680183627,0.319816373,3377,152000,134000,101450
75146,1077,0.637751247,0.362248753,19071,142400,232500,366400
75147,747,0.697035745,0.302964255,6736,82050,119400,94600
75148,616,0.690654206,0.309345794,5774,71650,73800,127300
75149,982,0.611248178,0.388751822,55797,444650,706200,764300
75150,1005,0.457622365,0.542377635,62297,665800,825750,820250
75152,969,0.80494322,0.19505678,4694,43000,83400,92000
75154,1226,0.768575105,0.231424895,40225,438900,651200,696350
75155,806,0.813137033,0.186862967,2946,33000,48000,37000
75156,787,0.785451639,0.214548361,15720,44700,67000,96400
