,Zip7,Similiarity7,Prediction7,Zip8,Similiarity8,Prediction8,Zip9,Similiarity9,Prediction9
84531,78959.0,0.9995445156593461,13846.213971665853,77545,0.9999996852261094,4929.010225275603,75240.0,0.902582886342759,9376.724663677129
84536,79521.0,0.9998773028614846,30589.9209486166,76020,0.9999999910465601,28309.801905174278,75778.0,0.999999555737671,21303.457530786232
85003,76043.0,0.99999777830633,336922.8925289652,76567,0.999999983166123,78502.09936249725,76901.0,0.9999887158521366,131330.93142340775
85004,75459.0,0.999987793654435,54793.93124639908,79906,0.9999999085999426,10438.243902439024,77375.0,0.9999967959977254,95768.69272637308
85006,77039.0,0.9999999660886567,166142.73023023023,79927,0.9999999838272643,48401.729750740975,77053.0,0.9999909861392472,193413.93404041673
85007,77378.0,0.999999790650468,163872.87925696594,78801,0.9999999491573917,345216.8487091533,78504.0,0.9999383729914022,98052.60411814031
85008,75052.0,0.9999999102808861,413305.2702027982,79912,0.9999999943422616,156314.14876969898,79932.0,0.9999720323205357,180847.2393720233
85009,79927.0,0.9999999428441956,83628.58947573004,78586,0.9999999999431158,183232.17023856222,77076.0,0.9999995548492173,328401.2633735488
85012,76050.0,0.9999961843861975,34192.44823386114,76634,0.9999999283025702,263638.93604980194,76126.0,0.9999903352327105,131633.04144228518
85013,76058.0,0.999999854462806,203814.96291786584,77385,0.9999999965217068,290790.24938501994,77346.0,0.9999941224668386,238635.5621273702
85014,78418.0,0.999999842840786,667986.6323907454,76120,0.9999999957614574,143088.80836090542,77373.0,0.9999535113344394,167033.73101021373
85015,77080.0,0.99999997625806,354654.2100076646,77583,0.9999999984729154,119664.48821796759,75006.0,0.9999934892923164,402885.78010553675
85016,76904.0,0.999999968838359,449777.86551050877,79705,0.9999999984991709,638018.716409664,77493.0,0.9999542391233375,278360.2021077908
85017,78753.0,0.9999999472313253,722289.0498015095,78244,0.9999999944644831,230878.01946567377,77081.0,0.9999804962091361,290731.8616359893
85018,76502.0,0.9999999849788251,762091.965466283,76502,0.9999999984019364,762091.965466283,79707.0,0.9999769478167856,1050262.5789186521
85019,76039.0,0.9999998357783075,377817.97629629634,78222,0.9999999913728869,323460.82930257556,77090.0,0.9999041695037842,157240.6271994995
85020,75232.0,0.9999999445558773,402838.88780360745,77389,0.9999999950487513,114666.14810400527,76107.0,0.9999972511432157,343022.8894055131
85021,77074.0,0.9999999863118787,251233.9346110485,78154,0.9999999990735317,894098.8692450317,78664.0,0.9998713034763242,874659.0179429932
85022,77080.0,0.9999999516423198,452304.52644257096,77388,0.9999999935254849,636066.9422569316,79087.0,0.9999642716632724,620586.4636209814
85023,76021.0,0.9999999515409399,484150.23257109436,77708,0.9999999988702509,554592.529296875,79087.0,0.9999429295128284,415173.6040609137
85024,75181.0,0.9999997993353072,29423.444976076556,77069,0.9999999809927805,423701.1569251015,77651.0,0.9999990279773386,580754.1822429907
85027,75238.0,0.9999999657536863,445390.65709352,76013,0.9999999990879398,332324.52742018155,77546.0,0.9999848153626393,360042.0657851936
85028,78374.0,0.9999991744667203,486333.4550704943,75672,0.9999999892650026,61269.79448683239,76049.0,0.9999958260823982,395623.07719889557
85029,78233.0,0.9999999928638964,743498.679245283,77539,0.999999997516732,732920.3065224023,76116.0,0.9999998355508136,497561.0928116652
85031,77039.0,0.9999999537393897,190171.61268411268,76105,0.9999999895992872,133207.62199344442,76106.0,0.9999922880342178,384585.71574277116
85032,75052.0,0.9999999571470459,487543.6122295051,77346,0.9999999992351853,812700.2214033812,77346.0,0.9999489864167271,812700.2214033812
85033,76010.0,0.9999999704008931,569765.7516475533,77073,0.9999999953577213,348271.05656848993,79836.0,0.9999843509182624,299471.21752419765
85034,78560.0,0.9999972993287511,42525.79446966571,79836,0.9999991140272488,20539.98981151299,78140.0,0.9998024830963431,88736.61670235546
85035,75061.0,0.9999999814457047,566394.0299051122,77080,0.9999999857215678,516834.57790430315,79835.0,0.9998034509677314,29105.196451204058
85037,78251.0,0.9999999973794805,1252448.9935408905,77055,0.9999999961719124,547477.9403595316,77085.0,0.9998831640140836,170135.86563594907
85040,76522.0,0.9999999688533957,528733.11008447,76106,0.9999999934859037,394943.16895303177,77587.0,0.9999439602046533,508741.9738477013
85041,78245.0,0.9999999649313367,434690.42710682517,78521,0.9999999982132293,528751.5396611992,79744.0,0.9999387660340756,3192062.210095498
85042,75050.0,0.9999999945924413,625380.2390438247,77055,0.999999996687891,468520.725284981,77085.0,0.9998463856443892,145598.8877148101
85043,78704.0,0.9999999741943284,304746.1459349421,77049,0.9999999981662716,436953.6875166671,77048.0,0.9999953754410749,183030.2455812868
85044,78413.0,0.999999971362328,686465.5964562017,79424,0.9999999971702241,418782.1265343432,76060.0,0.999998419793013,436609.603299293
85045,79906.0,0.9999711813187843,13112.780487804877,79124,0.9999996751657501,133583.94495412844,78738.0,0.999964788906272,80687.7969008002
85048,76123.0,0.9999999612140763,46626.871245837356,75077,0.9999999979941115,288845.52665763797,77384.0,0.9999975077382629,1081838.2710053425
85050,75189.0,0.9999997311095007,167687.51956181534,76182,0.9999999917087318,116496.63752521855,76016.0,0.9999261927352588,381077.45066216565
85051,77080.0,0.9999999841856319,389214.8779152524,78230,0.9999999943513413,651376.0353848883,76112.0,0.9999491782415737,256652.3282184906
85053,76053.0,0.9999999661107997,266301.4885333857,78418,0.9999999920847384,720967.4035989717,79201.0,0.9999986779306075,272561.335975092
85054,75454.0,0.9999902718142457,73204.42829567389,75844,0.9999998253956482,45416.87697160883,75205.0,0.9998914198536356,10007.5791995374
85083,78703.0,0.9999993073442005,76239.25101019819,78703,0.9999999692264429,76239.25101019819,78732.0,0.999875595110377,66498.3110010134
85085,76118.0,0.9999990985346785,135965.03247947054,77019,0.9999999914541775,152084.3918041906,78732.0,0.999988704763436,73761.85114288931
85086,78253.0,0.9999998888056719,456674.7050111683,76248,0.9999999958745944,640266.9494773964,75605.0,0.9999454639293235,773310.1705673643
85087,76050.0,0.9999908055303993,40247.78145119192,75765,0.9999998443032545,19294.28460843762,76226.0,0.9999451735491273,32334.704637137038
85118,75758.0,0.9999937678996106,382076.93827160494,75462,0.999999975429624,142573.43255495682,78947.0,0.9999958541768132,83737.0249728556
85119,77656.0,0.9999985744841214,548092.6842684268,75965,0.9999999897625005,285879.5385678593,76305.0,0.9999703349423986,81894.93433395872
85120,78332.0,0.9999990742418547,862094.3175866765,78628,0.9999999984697231,527399.8169645802,77316.0,0.9999985259404002,83490.8800300865
85121,78140.0,0.9999321837333799,42209.3147751606,75001,0.9999996678345208,25921.31080249025,76002.0,0.9990345770224126,15372.523175367114
85122,75227.0,0.9999999373183682,163909.51458326125,78249,0.9999999952188108,518387.8198115538,75115.0,0.9999971867977894,516094.5586803368
85123,75462.0,0.9999992705559998,127294.84218629714,78336,0.9999999753109653,633186.5995941833,75704.0,0.9999968992708499,177435.44214958893
85128,77048.0,0.9999999367613734,79049.86291780902,78114,0.999999975802449,440178.3792226338,79084.0,0.9999932476252545,538736.5771812081
85131,76541.0,0.9999997779675797,322452.0843497588,78380,0.9999999861179182,232101.6330929288,78219.0,0.9999722623647574,597836.8343917929
85132,75212.0,0.9999999730678775,181048.4820061256,79601,0.9999999959126504,463886.2451410435,77378.0,0.9999991630496621,394766.55727554177
85135,79742.0,0.9981551672206393,26299.595141700403,78567,0.9999141882386732,7124.760076775432,78019.0,0.9999992924884428,13611.694352159468
85137,76638.0,0.9999784807974459,5673.158065563129,77420,0.9999988072077166,108611.15812917595,77518.0,0.9999813060518308,41510.57902403496
85138,78626.0,0.9999999233412831,315872.3615850472,76706,0.9999999977956835,676106.25,76053.0,0.9999786330163919,324586.4445316845
85139,77085.0,0.9999998573080033,59727.61247983983,77568,0.9999999717743472,181863.83631713554,77493.0,0.9999468573074869,144432.700773746
85140,77375.0,0.9999999884301871,733152.522513607,76522,0.9999999988766562,739699.6692271944,75831.0,0.9999984650963445,1043756.9091541943
85141,76238.0,0.9995339770017942,20282.5,78548,0.9997218290345488,1973.8058551617876,78222.0,0.9999994852105789,5313.448261606515
85142,78640.0,0.9999999762222238,807707.2459938468,77386,0.999999997728872,397192.8113570378,77833.0,0.9999784246135381,2309723.9504473503
