,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6, MIN , MAX , Weight Avg , AVG , Median , STD , Upper Bound , Lower Bound , P1 , P2 , P3 , P4 , P5 , P6 , AVG , Flag ,,
84531,78072,0.967273361,166374.505,76629,0.999969303,30188.6121,76044,0.999999735,10061.43722,77977,0.999994367,21376.17135,79563,0.999874028,63560.8365,77419,0.999999996,32182.6205," 10,061.44 "," 166,374.50 "," 53,340.76 ",53957.36377,31185.6163,52847.76846,212500.6692,0,166374.505,30188.6121,10061.43722,21376.17135,63560.8365,32182.6205,53957.36377,1,,
84536,78072,0.993759846,303575.1238,75833,0.999977219,30849.69671,76821,0.999999952,34478.1284,78389,0.999998976,192534.5656,79355,0.999968858,34704.07623,78850,0.999999995,13943.33844," 13,943.34 "," 303,575.12 "," 101,471.23 ",101680.8215,34591.10232,108576.1735,427409.3419,0,303575.1238,30849.69671,34478.1284,192534.5656,34704.07623,13943.33844,101680.8215,1,,
85003,79906,0.990260202,15267.5122,76249,0.999979057,92902.0667,75076,0.999999997,83891.57924,79410,0.999999852,12429.07232,78756,0.999999084,189509.8961,76067,1,158966.4559," 12,429.07 "," 189,509.90 "," 92,286.11 ",92161.09708,88396.82297,66179.67686,290700.1277,0,15267.5122,92902.0667,83891.57924,12429.07232,189509.8961,158966.4559,92161.09708,1,,
85004,78072,0.948202499,990911.8812,75692,0.999828742,71402.91453,76444,0.999999879,68479.26267,79121,0.999999977,44250.37982,78017,0.999989808,113026.5506,78146,1,425330.9481," 44,250.38 "," 990,911.88 "," 279,431.06 ",285566.9895,92214.73257,341087.1398,1308828.409,0,990911.8812,71402.91453,68479.26267,44250.37982,113026.5506,425330.9481,285566.9895,1,,
85006,77014,0.986125711,63506.45134,76180,0.999991755,397782.5079,76901,1,417996.1127,78028,0.999999999,753889.1536,75240,0.999999974,259983.3148,77012,1,248053.9482," 63,506.45 "," 753,889.15 "," 357,548.46 ",356868.5814,328882.9113,212259.5023,993647.0882,0,63506.45134,397782.5079,417996.1127,753889.1536,259983.3148,248053.9482,356868.5814,1,,
85007,75219,0.981006311,111789.191,77389,0.999986988,51003.29329,76126,0.999999999,287704.4486,78654,0.999999997,286899.6917,75223,0.999999935,282557.1737,76501,1,190277.019," 51,003.29 "," 287,704.45 "," 201,991.01 ",201705.1362,236417.0963,93200.11669,481305.4863,0,111789.191,51003.29329,287704.4486,286899.6917,282557.1737,190277.019,201705.1362,1,,
85008,77083,0.991065714,309087.8123,79907,0.999914167,99266.4237,78040,1,311789.5284,75040,1,693678.0834,76137,0.999999988,528023.8075,78572,1,467675.8918," 99,266.42 "," 693,678.08 "," 401,729.20 ",401586.9245,389732.7101,188718.7614,967743.2087,0,309087.8123,99266.4237,311789.5284,693678.0834,528023.8075,467675.8918,401586.9245,1,,
85009,75227,0.993833461,139197.0211,77015,0.999995178,643820.9595,78237,0.999999995,715977.3115,75227,0.999999999,139197.0211,78744,0.999999989,614110.5261,76119,1,225066.7115," 139,197.02 "," 715,977.31 "," 413,176.32 ",412894.9251,419588.6188,248587.3447,1158656.959,0,139197.0211,643820.9595,715977.3115,139197.0211,614110.5261,225066.7115,412894.9251,1,,
85012,77951,0.994114888,39491.01506,77358,0.999991073,92796.21226,76849,0.999999986,478454.6859,78266,0.999999586,72320.18974,75860,0.99999869,105099.2985,76501,1,87057.19652," 39,491.02 "," 478,454.69 "," 145,974.30 ",145869.7663,89926.70439,150153.6209,596330.629,0,39491.01506,92796.21226,478454.6859,72320.18974,105099.2985,87057.19652,145869.7663,1,,
85013,75219,0.988062224,158701.4005,77008,0.999995412,227982.6621,78702,1,340613.088,77586,1,281887.7919,78703,0.999999925,82783.15615,75253,1,128763.2036," 82,783.16 "," 340,613.09 "," 203,544.42 ",203455.2171,193342.0313,89171.27074,470969.0293,0,158701.4005,227982.6621,340613.088,281887.7919,82783.15615,128763.2036,203455.2171,1,,
85014,78414,0.98604113,295167.0188,77598,0.999977488,492822.6741,77041,0.999999998,252580.8408,78628,1,472095.2609,77380,0.999999959,441018.4894,77447,1,233360.7504," 233,360.75 "," 492,822.67 "," 364,668.72 ",364507.5057,368092.7541,106793.4073,684887.7275,44127.28392,295167.0188,492822.6741,252580.8408,472095.2609,441018.4894,233360.7504,364507.5057,1,,
85015,77090,0.991120646,238304.7822,75034,0.999920723,634819.4248,77080,1,354654.21,77471,1,1184781.523,77074,0.99999999,239587.5298,77598,1,708308.9838," 238,304.78 "," 1,184,781.52 "," 560,551.99 ",560076.0755,494736.8174,333232.7203,1559774.236,0,238304.7822,634819.4248,354654.21,1184781.523,239587.5298,708308.9838,560076.0755,1,,
85016,75208,0.983207331,187351.9492,78238,0.999960309,683175.1522,77530,1,413548.1972,78723,0.999999999,530986.3325,75214,0.99999998,122012.3576,77705,1,722878.1548," 122,012.36 "," 722,878.15 "," 444,042.20 ",443325.3573,472267.2649,228405.0663,1128540.556,0,187351.9492,683175.1522,413548.1972,530986.3325,122012.3576,722878.1548,443325.3573,1,,
85017,78744,0.989620586,535063.5448,75149,0.999964672,527223.098,78041,1,661242.4761,78227,0.999999999,521860.7595,77073,0.999999987,222106.9098,76308,1,314447.8281," 222,106.91 "," 661,242.48 "," 463,533.32 ",463657.436,524541.9288,148423.4171,908927.6874,18387.18469,535063.5448,527223.098,661242.4761,521860.7595,222106.9098,314447.8281,463657.436,1,,
85018,78414,0.980045652,407569.5485,75025,0.9999639,155182.5239,76502,1,762091.9655,77004,0.999999997,77270.57011,75081,0.999999986,445930.4004,76531,1,563797.9275," 77,270.57 "," 762,091.97 "," 401,956.64 ",401973.8227,426749.9745,232441.3037,1099297.734,0,407569.5485,155182.5239,762091.9655,77270.57011,445930.4004,563797.9275,401973.8227,1,,
85019,77090,0.987025328,157240.6272,77066,0.9999856,120601.8227,75075,1,211920.5828,77086,1,294773.6867,77503,0.999999963,414974.3304,75249,1,19374.40994," 19,374.41 "," 414,974.33 "," 203,247.26 ",203147.5766,184580.605,126515.2887,582693.4426,0,157240.6272,120601.8227,211920.5828,294773.6867,414974.3304,19374.40994,203147.5766,1,,
85020,75208,0.986907631,176610.8123,77037,0.999979314,461936.7202,75604,1,595275.6159,76021,1,479598.5405,77351,0.999999985,615392.801,75051,1,434428.1822," 176,610.81 "," 615,392.80 "," 461,161.35 ",460540.4454,470767.6304,143640.6776,891462.4783,29618.41245,176610.8123,461936.7202,595275.6159,479598.5405,615392.801,434428.1822,460540.4454,1,,
85021,77090,0.991030857,249888.8324,77642,0.999990314,370295.8425,77074,1,251233.9346,76017,0.999999999,586169.6554,78221,0.999999992,742110.2512,78015,1,44142.87256," 44,142.87 "," 742,110.25 "," 374,159.34 ",373973.5648,310764.8885,230873.5764,1066594.294,0,249888.8324,370295.8425,251233.9346,586169.6554,742110.2512,44142.87256,373973.5648,1,,
85022,77090,0.990009699,303919.5042,78415,0.999995591,448314.5669,77450,0.999999998,312703.9568,77469,1,610495.858,75023,0.999999984,268985.2249,78133,1,965610.8172," 268,985.22 "," 965,610.82 "," 485,307.04 ",485004.988,380509.2618,244001.4496,1217009.337,0,303919.5042,448314.5669,312703.9568,610495.858,268985.2249,965610.8172,485004.988,1,,
85023,75208,0.98733897,178286.9601,77091,0.999974613,247665.2688,77053,0.999999998,234940.1594,78626,0.999999999,294436.9455,78217,0.999999978,983411.7682,78023,1,304929.4322," 178,286.96 "," 983,411.77 "," 374,359.37 ",373945.089,271051.1072,275706.7904,1201065.46,0,178286.9601,247665.2688,234940.1594,294436.9455,983411.7682,304929.4322,373945.089,1,,
85024,75219,0.986037106,185671.2033,79110,0.999983409,395201.7306,75218,1,254056.3286,78752,0.999999999,655296.4388,77505,0.99999995,593834.0941,79606,1,602331.8191," 185,671.20 "," 655,296.44 "," 448,343.36 ",447731.9358,494517.9123,181326.3532,991710.9955,0,185671.2033,395201.7306,254056.3286,655296.4388,593834.0941,602331.8191,447731.9358,1,,
85027,75208,0.989672353,188455.2363,77388,0.999984221,449799.4186,78413,0.999999999,596420.8098,76180,0.999999998,510744.6324,79720,0.999999979,1296121.236,76106,1,431406.7469," 188,455.24 "," 1,296,121.24 "," 579,498.11 ",578824.6799,480272.0255,344051.0458,1610977.817,0,188455.2363,449799.4186,596420.8098,510744.6324,1296121.236,431406.7469,578824.6799,1,,
85028,79512,0.982038362,329307.6135,78065,0.99997889,164962.5331,78374,0.999999971,486333.4551,75078,0.999999972,197945.9342,78734,0.999999853,237144.6881,75803,1,72177.1602," 72,177.16 "," 486,333.46 "," 247,734.66 ",247978.564,217545.3111,131558.5423,642654.1908,0,329307.6135,164962.5331,486333.4551,197945.9342,237144.6881,72177.1602,247978.564,1,,
85029,77090,0.99498369,270667.5334,77584,0.99996239,500242.5362,77040,1,389489.9633,77471,1,1345679.635,77388,0.999999985,566474.5697,75042,1,676451.5597," 270,667.53 "," 1,345,679.64 "," 625,131.43 ",624834.2996,533358.553,346898.7268,1665530.48,0,270667.5334,500242.5362,389489.9633,1345679.635,566474.5697,676451.5597,624834.2996,1,,
85031,77090,0.994500188,191593.5364,76244,0.999978812,134882.8675,77386,1,208607.5666,77039,0.999999999,190171.6127,78242,0.999999973,248090.388,78257,1,1552791.256," 134,882.87 "," 1,552,791.26 "," 421,234.38 ",421022.8712,200100.5515,507236.2709,1942731.684,0,191593.5364,134882.8675,208607.5666,190171.6127,248090.388,1552791.256,421022.8712,1,,
85032,75227,0.989586912,208469.4478,78227,0.999977988,897032.7436,77083,1,364606.5012,75220,1,1220333.949,78130,0.999999992,1580008.53,75227,1,208469.4478," 208,469.45 "," 1,580,008.53 "," 747,421.58 ",746486.7698,630819.6224,527053.3782,2327646.904,0,208469.4478,897032.7436,364606.5012,1220333.949,1580008.53,208469.4478,746486.7698,1,,
85033,75228,0.993467077,213976.5324,75228,0.999945222,213976.5324,77093,0.999999999,764871.016,78046,0.999999996,86500.20872,78574,0.99999999,135834.7317,78736,1,282016.9777," 86,500.21 "," 764,871.02 "," 282,938.38 ",282862.6665,213976.5324,224350.4667,955914.0667,0,213976.5324,213976.5324,764871.016,86500.20872,135834.7317,282016.9777,282862.6665,1,,
85034,79906,0.980401945,7867.317073,75141,0.999964511,127928.4609,78343,0.999999988,112256.0585,75076,0.999999784,43229.15516,79782,0.999995374,100926.3437,79357,1,97132.74336," 7,867.32 "," 127,928.46 "," 81,797.88 ",81556.67979,99029.54355,42050.9867,207709.6399,0,7867.317073,127928.4609,112256.0585,43229.15516,100926.3437,97132.74336,81556.67979,1,,
85035,77083,0.994746635,292334.9474,75243,0.999835972,237317.9331,78155,1,1178459.711,78207,1,486972.6193,79928,0.999999992,90884.94486,76437,1,1505139.048," 90,884.94 "," 1,505,139.05 "," 632,159.87 ",631851.5339,389653.7833,523764.3565,2203144.603,0,292334.9474,237317.9331,1178459.711,486972.6193,90884.94486,1505139.048,631851.5339,1,,
85037,75220,0.991795821,889732.7459,75060,0.99999277,950697.0389,78251,1,1252448.994,75149,0.999999999,660737.5128,78640,0.999999988,699206.659,77015,1,703005.0866," 660,737.51 "," 1,252,448.99 "," 859,262.90 ",859304.6728,796368.9163,205479.4154,1475742.919,242866.4267,889732.7459,950697.0389,1252448.994,660737.5128,699206.659,703005.0866,859304.6728,1,,
85040,77090,0.992686305,196753.4293,75041,0.999994254,400373.3395,75056,1,245219.2174,75041,1,400373.3395,78242,0.999999985,254771.8234,78411,1,1042925.318," 196,753.43 "," 1,042,925.32 "," 423,679.38 ",423402.7445,327572.5814,287641.1523,1286326.202,0,196753.4293,400373.3395,245219.2174,400373.3395,254771.8234,1042925.318,423402.7445,1,,
85041,75227,0.994526334,183864.6784,75061,0.999995712,623043.2987,78227,1,791159.7534,78228,0.999999999,863276.1251,78045,0.999999997,413725.8759,75040,1,721699.4781," 183,864.68 "," 863,276.13 "," 599,841.00 ",599461.5349,672371.3884,234187.6176,1302024.388,0,183864.6784,623043.2987,791159.7534,863276.1251,413725.8759,721699.4781,599461.5349,1,,
85042,77090,0.992140823,270250.1447,76542,0.99998933,769205.9494,79904,1,230140.7531,77074,1,271704.8478,77080,0.999999995,402196.5094,75041,1,549931.7259," 230,140.75 "," 769,205.95 "," 415,761.63 ",415571.6551,336950.6786,191263.0633,989360.845,0,270250.1447,769205.9494,230140.7531,271704.8478,402196.5094,549931.7259,415571.6551,1,,
