,Zip7,Similiarity7,Prediction7,Zip8,Similiarity8,Prediction8
84531,78959.0,0.9995445156593461,13846.213971665853,77545,0.9999996852261095,4929.010225275603
84536,79521.0,0.9998773028614846,30589.9209486166,76020,0.9999999910465601,28309.801905174278
85003,76043.0,0.99999777830633,336922.8925289652,76567,0.999999983166123,78502.09936249725
85004,75459.0,0.999987793654435,54793.93124639908,79906,0.9999999085999427,10438.243902439024
85006,77039.0,0.9999999660886567,166142.73023023023,79927,0.9999999838272645,48401.729750740975
85007,77378.0,0.999999790650468,163872.87925696594,78801,0.9999999491573917,345216.8487091533
85008,75052.0,0.9999999102808861,413305.2702027982,79912,0.9999999943422616,156314.14876969898
85009,79927.0,0.9999999428441956,83628.58947573004,78586,0.9999999999431157,183232.17023856222
85012,76050.0,0.9999961843861975,34192.44823386114,76634,0.9999999283025702,263638.93604980194
85013,76058.0,0.999999854462806,203814.96291786584,77385,0.9999999965217068,290790.24938501994
85014,78418.0,0.999999842840786,667986.6323907454,76120,0.9999999957614574,143088.80836090542
85015,77080.0,0.99999997625806,354654.2100076646,77583,0.9999999984729154,119664.48821796759
85016,76904.0,0.999999968838359,449777.86551050877,79705,0.9999999984991709,638018.716409664
85017,78753.0,0.9999999472313253,722289.0498015095,78244,0.9999999944644831,230878.01946567377
85018,76502.0,0.9999999849788251,762091.965466283,76502,0.9999999984019364,762091.965466283
85019,76039.0,0.9999998357783075,377817.97629629634,78222,0.9999999913728869,323460.82930257556
85020,75232.0,0.9999999445558773,402838.88780360745,77389,0.9999999950487513,114666.14810400527
85021,77074.0,0.9999999863118787,251233.9346110485,78154,0.9999999990735319,894098.8692450317
85022,77080.0,0.9999999516423198,452304.52644257096,77388,0.9999999935254849,636066.9422569316
85023,76021.0,0.9999999515409399,484150.23257109436,77708,0.9999999988702508,554592.529296875
85024,75181.0,0.9999997993353072,29423.444976076556,77069,0.9999999809927805,423701.1569251015
85027,75238.0,0.9999999657536863,445390.65709352,76013,0.9999999990879398,332324.52742018155
85028,78374.0,0.9999991744667203,486333.4550704943,75672,0.9999999892650026,61269.79448683239
85029,78233.0,0.9999999928638964,743498.679245283,77539,0.999999997516732,732920.3065224023
85031,77039.0,0.9999999537393897,190171.61268411268,76105,0.9999999895992872,133207.62199344442
85032,75052.0,0.9999999571470459,487543.6122295051,77346,0.9999999992351851,812700.2214033812
85033,76010.0,0.9999999704008931,569765.7516475533,77073,0.9999999953577212,348271.05656848993
85034,78560.0,0.9999972993287511,42525.79446966571,79836,0.9999991140272488,20539.98981151299
85035,75061.0,0.9999999814457047,566394.0299051122,77080,0.9999999857215678,516834.57790430315
85037,78251.0,0.9999999973794805,1252448.9935408905,77055,0.9999999961719124,547477.9403595316
85040,76522.0,0.9999999688533957,528733.11008447,76106,0.9999999934859037,394943.16895303177
85041,78245.0,0.9999999649313367,434690.42710682517,78521,0.999999998213229,528751.5396611992
85042,75050.0,0.9999999945924413,625380.2390438247,77055,0.999999996687891,468520.725284981
85043,78704.0,0.9999999741943284,304746.1459349421,77049,0.9999999981662714,436953.6875166671
85044,78413.0,0.999999971362328,686465.5964562017,79424,0.9999999971702241,418782.1265343432
85045,79906.0,0.9999711813187843,13112.780487804877,79124,0.9999996751657503,133583.94495412844
85048,76123.0,0.9999999612140763,46626.871245837356,75077,0.9999999979941115,288845.52665763797
85050,75189.0,0.9999997311095007,167687.51956181534,76182,0.9999999917087318,116496.63752521855
85051,77080.0,0.9999999841856319,389214.8779152524,78230,0.9999999943513413,651376.0353848883
85053,76053.0,0.9999999661107997,266301.4885333857,78418,0.9999999920847384,720967.4035989717
85054,75454.0,0.9999902718142457,73204.42829567389,75844,0.9999998253956482,45416.87697160883
85083,78703.0,0.9999993073442005,76239.25101019819,78703,0.9999999692264426,76239.25101019819
85085,76118.0,0.9999990985346785,135965.03247947054,77019,0.9999999914541774,152084.3918041906
85086,78253.0,0.9999998888056719,456674.7050111683,76248,0.9999999958745942,640266.9494773964
85087,76050.0,0.9999908055303993,40247.78145119192,75765,0.9999998443032546,19294.28460843762
85118,75758.0,0.9999937678996106,382076.93827160494,75462,0.999999975429624,142573.43255495682
85119,77656.0,0.9999985744841214,548092.6842684268,75965,0.9999999897625005,285879.5385678593
85120,78332.0,0.9999990742418547,862094.3175866765,78628,0.9999999984697228,527399.8169645802
85121,78140.0,0.9999321837333799,42209.3147751606,75001,0.9999996678345208,25921.31080249025
85122,75227.0,0.9999999373183682,163909.51458326125,78249,0.9999999952188108,518387.8198115538
85123,75462.0,0.9999992705559998,127294.84218629714,78336,0.9999999753109651,633186.5995941833
85128,77048.0,0.9999999367613734,79049.86291780902,78114,0.999999975802449,440178.3792226338
85131,76541.0,0.9999997779675797,322452.0843497588,78380,0.999999986117918,232101.6330929288
85132,75212.0,0.9999999730678775,181048.4820061256,79601,0.9999999959126504,463886.2451410435
85135,79742.0,0.9981551672206393,26299.595141700403,78567,0.9999141882386732,7124.760076775432
85137,76638.0,0.9999784807974459,5673.158065563129,77420,0.9999988072077166,108611.15812917595
85138,78626.0,0.9999999233412831,315872.3615850472,76706,0.9999999977956835,676106.25
85139,77085.0,0.9999998573080033,59727.61247983983,77568,0.9999999717743472,181863.83631713554
85140,77375.0,0.9999999884301871,733152.522513607,76522,0.9999999988766562,739699.6692271944
85141,76238.0,0.9995339770017942,20282.5,78548,0.9997218290345488,1973.8058551617876
85142,78640.0,0.9999999762222238,807707.2459938468,77386,0.999999997728872,397192.8113570378
85143,78759.0,0.9999999738374281,249020.37899968933,79707,0.9999999994266314,1020182.135155499
85145,76554.0,0.9999502838233066,64675.71115973742,78164,0.9999993229320309,255291.33858267716
85147,79512.0,0.9999693566669612,64151.27102567345,78840,0.9999999976670376,33324.65798787176
85172,77419.0,0.9998930378371991,52756.27970128988,78359,0.9999926551455938,27293.1906614786
85173,76066.0,0.9999913052045543,13844.347009082368,79041,0.9999976245478183,6448.5776805251635
85192,78950.0,0.9999667214091261,8375.0,76635,0.9999907161518512,53382.895816242824
85193,78208.0,0.9999971966903348,135266.75170068027,79766,0.9999994990949245,133883.11090658075
85194,76834.0,0.99999415712713,283206.393718452,76446,0.9999999726467009,114138.87723627391
85201,78043.0,0.9999999789595007,287666.424645905,76543,0.999999997079309,518860.7516406891
85202,79761.0,0.9999999835296134,1195970.0784151878,76706,0.9999999989257699,727125.0
85203,77301.0,0.9999999276365847,482956.5674035408,77571,0.9999999983227108,1174102.1592550972
85204,76010.0,0.9999999671835259,583486.9544912045,75149,0.9999999991890814,846612.2587235873
85205,77033.0,0.9999997023727484,81639.52916610535,76021,0.9999999930465626,600448.845500376
85206,79603.0,0.9999996006677734,288615.68265682657,77340,0.9999999986232048,435027.1387959866
85207,78247.0,0.9999999104098716,1320760.423560556,76210,0.9999999949539881,136277.8130959949
85208,79930.0,0.9999997042929563,70842.11269594691,77354,0.999999999106913,498006.6176470588
85209,77590.0,0.9999998861348048,788907.8690001287,77339,0.9999999976451627,525457.271212231
85210,75050.0,0.9999999782881137,555893.545816733,78723,0.9999999955330344,596996.9490503467
85212,76262.0,0.9999999148947273,403396.2175352972,77833,0.9999999986905249,1206222.3675154853
85213,76021.0,0.999999986151918,506274.9129599198,77340,0.9999999978569604,420306.60200668895
85215,76692.0,0.999997770124794,200279.28524156188,76008,0.9999999885331283,45670.35018978817
85224,75104.0,0.9999999580480526,444004.2826552462,75248,0.9999999915047212,248635.23573200995
85225,75227.0,0.999999991176842,205511.40193059543,77373,0.9999999975009487,430149.9442107974
85226,78154.0,0.9999999550683238,817718.4550701173,78759,0.9999999894157928,255909.01259349534
85233,77354.0,0.9999999155631423,476535.96256684494,76013,0.9999999959758689,332577.0749796497
85234,75098.0,0.9999999836962284,485172.38420068217,77546,0.9999999906185476,513842.0160349018
85248,76049.0,0.999999717564619,660200.9394384882,76262,0.9999999853038459,418151.80407878687
85249,75087.0,0.9999999041219819,543070.8547266687,75075,0.9999999915105784,314579.04154955054
85250,77318.0,0.9999999119966229,351707.3945714841,77656,0.9999999881052524,444777.5271971642
85251,75604.0,0.999999962570512,726234.1060035989,76502,0.9999999994043907,817927.9679033471
85253,75078.0,0.9999962181642031,187281.1581194508,77656,0.9999999470213135,464817.7545532331
85254,75234.0,0.9999998073817061,838232.4281199177,75703,0.9999999904576019,631189.4465107174
85255,75032.0,0.9999997102276785,449957.95089015574,76248,0.9999999956709607,619060.0700212108
85256,78014.0,0.9999950550568748,213964.2094017094,76115,0.99999994128688,60785.98974859654
85257,77071.0,0.9999999114420087,215595.49873128196,79605,0.9999999969877074,798853.771232138
