Zip Code,Total population,Unemployment rate - Population 16 years and over
84531,998,8.9
84536,1821,9.3
85003,8694,4
85004,5944,8.5
85006,27671,9.5
85007,14810,8.3
85008,60700,7.4
85009,47810,7.7
85012,6776,3.8
85013,21025,6.2
85014,27410,7.9
85015,39395,9.9
85016,35321,6.4
85017,41656,8.2
85018,37848,4.9
85019,25994,6.3
85020,33296,5.7
85021,41310,10.1
85022,50242,6.9
85023,33612,5.4
85024,24598,3.8
85027,35529,5.8
85028,19563,4.1
85029,44745,8.6
85031,31673,8.3
85032,71603,5.9
85033,65318,9.6
85034,4480,18
85035,57410,8.5
85037,52205,8
85040,32526,10.4
85041,63152,5.6
85042,44676,9.8
85043,38125,8.2
85044,40893,3.5
85045,7467,3.4
85048,34720,4
85050,30506,5.2
85051,43234,9.9
85053,29584,6.9
85054,7023,1.2
85083,19363,3.5
85085,21478,3.6
85086,41785,3.9
85087,7976,7.3
85118,12439,7.2
85119,21825,6.7
85120,30621,7.2
85121,2131,19.3
85122,56298,8.3
85123,11106,10.2
85128,16466,10.1
85131,18542,11
85132,35677,10.1
85135,464,19.3
85137,2497,8.7
85138,36059,5
85139,18327,10.1
85140,45504,6.5
85141,427,7.3
85142,60306,3.5
85143,36764,6.9
85145,3016,7.9
85147,3811,20.9
85172,1636,2.6
85173,2947,9.5
85192,1675,15.3
85193,4408,14.4
85194,7188,6.1
85201,51817,7.2
85202,38780,7.1
85203,37773,5.2
85204,66891,6.3
85205,41686,5.9
85206,36379,6.3
85207,48405,6.5
85208,37158,6.8
85209,41052,5
85210,39712,8.6
85212,31494,3.7
85213,35148,5.9
85215,16270,3.6
85224,44000,5.1
85225,70587,5.6
85226,37781,4.6
85233,35556,4.8
85234,50706,5.3
85248,32646,4.5
85249,38586,3.6
85250,17711,4.3
85251,40621,4.8
85253,18509,2.3
85254,45973,4.2
85255,40401,3.9
85256,5380,22.9
85257,31609,3.8
85258,24549,2.8
85259,23043,4.3
85260,38337,4.3
85262,10815,6
85263,2531,0
85264,1315,11.9
85266,12519,3.2
85268,24288,6
85281,62626,6.6
85282,52799,5.7
85283,50536,5.5
85284,18592,3.4
85286,41807,3.9
85295,43525,4.2
85296,42506,3.5
85297,32890,4.8
85298,29113,5.6
85301,67526,9.5
85302,39647,4.9
85303,31835,6.7
85304,27365,6
85305,12073,3.6
85306,24503,5.8
85307,9376,4.9
85308,66295,5.6
85310,19252,3.6
85321,4776,29
85322,764,13.5
85323,42225,6.9
85324,2892,7
85325,1087,0
85326,58276,6.3
85331,29264,5.2
85332,1548,6.5
85333,594,4.9
85334,844,14.9
85335,34400,7
85336,502,9.7
85337,2611,8
85338,47588,3.7
85339,45040,9.3
85340,32436,4.7
85342,1284,8.5
85344,10537,8.8
85345,56473,8.4
85347,938,6
85349,29972,15.9
85350,22691,10.6
85351,28855,8.2
85353,39400,5.9
85354,7008,15.6
85355,11369,6.5
