Zip Code,Total population,Unemployment rate - Population 16 years and over,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75001,14617,4.4,189000,177800,166750
75002,69688,4.9,295000,376600,513100
75006,50788,4.1,444850,541600,519400
75007,53744,4,456400,686450,769300
75009,10557,2.2,29000,26900,33000
75010,27822,3.2,164000,182950,194800
75013,38975,3.7,125000,269200,318850
75019,41947,3.1,167600,259050,380150
75020,21891,9.3,159000,230800,326150
75021,8704,5.3,88000,234600,64000
75022,24625,3.7,171000,299500,286000
75023,49563,5.2,221950,265350,321800
75024,42405,4.4,106500,167000,256000
75025,53559,3.7,176000,219600,270400
75028,47056,3.6,271100,415300,495000
75032,31399,5.6,279350,349700,513950
75034,95996,4.1,597000,1546900,1572900
75035,65264,3.9,147000,191450,311750
75038,29762,4.4,136000,216850,286700
75039,18010,5,89250,124750,92900
75040,62277,5.5,480550,711700,819700
75041,33304,7.3,261150,409950,415700
75042,39559,7.6,472000,598050,646650
75043,59951,7.2,471000,532450,603950
75044,40942,8.1,253000,432650,557150
75048,24203,4,139000,135450,162800
75050,42670,4.8,392450,674350,597300
75051,40962,7,382150,611600,534450
75052,94133,6.3,412150,640950,844350
75056,57115,4.6,363400,430600,545450
75057,14562,3.8,79000,106000,114050
75058,2697,6.2,6900,24000,27000
75060,47922,6.9,603650,872700,910400
75061,54907,5,443200,541700,709700
75062,48553,4.8,610400,750500,794150
75063,38383,3.9,235750,314200,391950
75065,12457,6.3,54000,93600,137750
75067,66896,4.8,397950,729250,564050
75068,55848,4.1,163000,323000,630000
75069,36879,4.4,324350,532250,614500
75070,93299,3.4,390100,842700,655100
75071,49846,3.1,201000,202150,240000
75074,48977,3.6,494150,901600,899600
75075,35933,3.1,219000,292950,313300
75076,7244,4.9,42000,97500,69900
75077,36181,3.8,256550,301000,350800
75078,20611,2.3,96000,208550,279500
75080,50247,5.1,429750,656750,704150
75081,37960,5.1,313950,447250,541450
75082,23733,4.4,51000,97500,99000
75087,33110,3.5,273000,466000,566750
75088,25842,6.1,448000,538350,587950
75089,33117,5.2,95000,152350,164000
75090,23936,7.6,197000,354550,456000
75092,24312,6,130000,249700,169850
75093,48021,5.1,282350,464700,523500
75094,23097,5.9,44750,131000,202000
75098,54534,5.2,438000,521800,618450
75101,710,5.8,14000,23500,12000
75103,13967,5.5,203000,299400,412850
75104,48568,6.5,347150,492150,490100
75109,4096,10.7,73550,90950,146400
75110,28847,10,352350,805500,886200
75114,5930,7.9,14000,17000,25000
