Install,total,debit
44580,10009,10009
19091,10024,10024
19216,10029,10029
19232,10033,10033
19208,10034,10034
41751,10064,10064
19166,10067,10067
19158,10071,10071
19125,10080,10080
19119,10088,10088
19141,10090,10090
19240,10106,10106
28805,10116,10116
19174,10140,10140
12944,10148,10148
19117,10155,10155
58966,10158,10158
19133,10165,10165
61259,10199,10199
11832,10214,10214
19273,10223,10223
15202,10226,10226
13020,10227,10227
13111,10241,10241
39671,10244,10244
14203,10246,10246
39703,10247,10247
15196,10248,10248
15095,10249,10249
14671,10250,10250
11677,10257,10257
14205,10272,10272
15195,10279,10279
14253,10283,10283
26247,10298,10298
33532,10314,10314
13921,10342,10342
13665,10348,10348
15194,10363,10363
10024,10364,10364
10929,10375,10375
13108,10393,10393
14201,10398,10398
10932,10400,10400
15201,10412,10412
15171,10421,10421
12612,10437,10437
15199,10447,10447
14867,10454,10454
12404,10476,10476
13017,10482,10482
15092,10484,10484
42145,10486,10486
37624,10488,10488
14210,10496,10496
14861,10504,10504
44208,10512,10512
28888,10520,10520
14206,10529,10529
14202,10538,10538
31278,10542,10542
14747,10553,10553
14204,10560,10560
10029,10561,10561
15348,10583,10583
13861,10585,10585
14028,10587,10587
14866,10595,10595
14207,10603,10603
14208,10612,10612
13880,10621,10621
15197,10645,10645
51177,10649,10649
47399,10653,10653
15035,10660,10660
43598,10671,10671
37806,10677,10677
26759,10702,10702
13541,10734,10734
13158,10736,10736
14141,10750,10750
14756,10752,10752
14288,10757,10757
15254,10767,10767
36477,10774,10774
14200,10776,10776
13428,10790,10790
12829,10802,10802
10375,10881,10881
14742,10914,10914
14199,10924,10924
12795,10929,10929
10034,10932,10932
13586,10935,10935
43838,10947,10947
10484,10949,10949
10935,10951,10951
14459,10952,10952
35834,10953,10953
35834,10958,10958
14025,10962,10962
36063,10963,10963
14005,10965,10965
61622,10971,10971
61622,10973,10973
10226,10974,10974
36428,10978,10978
58636,10979,10979
39687,10981,10981
10199,10988,10988
36370,11000,11000
21487,11003,11003
10223,11004,11004
10393,11008,11008
36014,11010,11010
36014,11011,11011
10165,11012,11012
11146,11021,11021
10241,11025,11025
10090,11027,11027
10090,11029,11029
35883,11035,11035
10963,11037,11037
41800,11039,11039
14778,11058,11058
14778,11059,11059
28500,11073,11073
14366,11109,11109
10227,11141,11141
31278,11146,11146
12632,11177,11177
36717,11183,11183
37551,11198,11198
48934,11209,11209
48934,11236,11236
35875,11447,11447
37004,11462,11462
61663,11508,11519
61663,11519,11523
36022,11523,11567
12802,11567,11583
36230,11574,11596
35982,11583,11626
10790,11596,11633
39107,11626,11645
14744,11633,11677
61614,11645,11696
61614,11677,11716
11008,11696,11717
26619,11716,11727
61655,11717,11730
61655,11727,11743
36040,11730,11746
39638,11743,11754
14897,11746,11756
35859,11754,11800
14059,11756,11810
12564,11800,11832
34092,11810,11878
10412,11832,11982
14026,11878,12109
35537,11982,12280
32583,12109,12288
12557,12280,12320
45470,12288,12359
11746,12320,12404
11183,12359,12434
14769,12404,12452
10924,12434,12459
10400,12452,12460
10155,12459,12491
13063,12460,12523
17063,12491,12557
14387,12493,12564
49619,12523,12610
57570,12557,12612
60160,12564,12632
36964,12610,12755
25082,12612,12795
31229,12632,12802
11236,12755,12829
45090,12795,12877
12610,12802,12944
13225,12813,12945
42079,12829,12950
13297,12877,12952
11198,12944,12970
14881,12945,12975
27130,12950,12979
44271,12952,12995
36000,12970,13016
10486,12975,13017
36378,12979,13020
10272,12995,13042
39057,13016,13046
61648,13017,13049
39206,13020,13063
52498,13042,13075
23756,13046,13089
11209,13049,13107
15088,13061,13108
15082,13063,13111
12979,13072,13124
57372,13075,13141
35016,13089,13158
57570,13103,13225
57257,13107,13244
53504,13108,13258
12459,13111,13265
35925,13116,13297
14961,13124,13298
35966,13135,13341
35951,13141,13345
44422,13158,13374
14386,13225,13428
14370,13244,13459
14371,13258,13509
38382,13265,13533
33847,13297,13541
32278,13298,13583
45041,13341,13586
10476,13345,13619
10802,13346,13655
14765,13374,13665
29441,13410,13700
10244,13428,13767
10529,13459,13851
11982,13509,13861
43804,13533,13874
12491,13541,13878
11011,13583,13880
20505,13586,13921
20505,13619,13932
11003,13655,14005
41543,13665,14025
42319,13700,14026
12359,13767,14028
14376,13846,14059
10958,13851,14085
10585,13861,14141
27510,13874,14188
14368,13878,14197
30860,13880,14199
10560,13921,14200
44349,13932,14201
48058,13951,14202
13700,14005,14203
32906,14025,14204
32807,14026,14205
35570,14028,14206
44414,14059,14207
14369,14085,14208
41584,14141,14210
11021,14188,14253
14380,14197,14267
32039,14199,14288
14849,14200,14364
44539,14201,14366
10734,14202,14368
13265,14203,14369
12109,14204,14370
12109,14205,14371
46540,14206,14372
10482,14207,14374
10148,14208,14376
44299,14210,14377
12523,14253,14378
11519,14267,14379
11810,14288,14380
13075,14364,14382
35901,14366,14384
64634,14368,14385
11596,14369,14386
11177,14370,14387
31866,14371,14389
13874,14372,14390
10949,14374,14391
10949,14376,14392
43325,14377,14393
41701,14378,14394
28144,14379,14395
39115,14380,14396
10140,14382,14397
44396,14384,14418
12995,14385,14459
12995,14386,14518
38473,14387,14595
39010,14389,14598
10116,14390,14624
31195,14391,14625
57372,14392,14628
11058,14393,14629
10965,14394,14671
26470,14395,14703
25702,14396,14709
13583,14397,14742
42186,14418,14744
11073,14459,14747
31294,14518,14756
11645,14595,14765
39065,14598,14769
12280,14624,14778
35958,14625,14793
27940,14628,14849
14267,14629,14861
42194,14671,14866
21859,14703,14867
39935,14709,14872
31237,14742,14881
36560,14744,14897
31187,14747,14906
14377,14756,14961
31286,14765,15023
14379,14769,15027
11756,14778,15035
14374,14793,15062
31161,14849,15082
31161,14861,15088
14378,14866,15092
10953,14867,15095
43457,14872,15100
31351,14881,15159
14384,14889,15162
33550,14897,15163
43160,14906,15165
12460,14961,15167
26710,15023,15168
52795,15027,15171
10612,15035,15194
39513,15062,15195
10752,15082,15196
57364,15088,15197
11462,15092,15199
31245,15095,15201
44356,15100,15202
43242,15108,15228
10249,15159,15249
10158,15162,15254
35917,15163,15348
13258,15165,15368
10279,15167,15369
13374,15168,15371
51540,15171,15373
29456,15194,15374
27294,15195,15375
35661,15196,15376
10214,15197,15377
10621,15199,15378
10621,15201,15379
32302,15202,15380
10364,15228,15381
20531,15249,15382
41188,15254,15383
13046,15348,15384
13046,15368,15385
29258,15369,15386
10257,15371,15387
14793,15373,15389
14793,15374,15391
13141,15375,15392
14382,15376,15393
10947,15377,15394
53496,15378,15395
53496,15379,15397
10437,15380,15426
10106,15381,15436
43491,15382,15490
12452,15383,15497
43796,15384,16545
12952,15385,16552
12755,15386,16570
12755,15387,16586
38879,15389,16719
27096,15391,17063
14372,15392,18184
42624,15393,18192
32427,15394,18200
39679,15395,18218
14906,15397,18790
45023,15426,19091
45023,15434,19117
10988,15435,19119
10767,15436,19125
35719,15490,19133
13049,15497,19141
11717,16545,19158
26452,16552,19166
35141,16570,19174
35141,16586,19208
37533,16719,19216
34110,17063,19232
10542,18184,19240
10542,18192,19273
10776,18200,20208
14385,18218,20505
42947,18790,20531
11696,19091,21487
10653,19117,21859
14629,19119,23756
36584,19125,25082
16552,19133,25702
10971,19141,26247
11027,19158,26387
11004,19166,26452
11035,19174,26470
10981,19208,26619
35867,19216,26627
10952,19232,26668
11037,19240,26684
14197,19273,26710
14197,20208,27096
61630,20505,27130
61630,20531,27294
42996,21487,27510
10033,21859,27567
11633,23756,27682
40050,25082,27940
10009,25702,28029
10009,26247,28045
15159,26387,28144
15159,26452,28161
10671,26470,28169
11716,26619,28500
39172,26627,28524
39172,26668,28805
18192,26684,28888
11800,26710,28946
11025,26759,29027
10454,27096,29207
43135,27130,29258
11754,27294,29441
28045,27510,29456
14396,27567,30860
